// 人物名稱字串檔, 將內容複製到 GameResource.txt

[name]

item = 25000,山羊
item = 26072,南蠻將軍
item = 26073,通天塔武將
item = 26074,通天塔文官
item = 26075,煉獄武將
item = 26076,煉獄文官
item = 26077,男倭將
item = 26078,女倭將
item = 26079,男雙全
item = 26080,通天高等武將
item = 26081,通天高等文官
item = 26082,煉獄高等武將
item = 26083,煉獄高等文官
item = 26084,羅馬將軍
item = 26085,Q版武魂
item = 26086,波斯武將
item = 26087,女Q版武魂
item = 26088,高階武將
item = 26089,高階文官
item = 26090,輕裝武將
item = 26091,皮鎧武將
item = 26092,重鎧武將
item = 26093,西涼武將
item = 26094,鎧甲男將
item = 26095,鎧甲女將
item = 26100,張梁
item = 26101,張寶
item = 26102,張角
item = 26103,管亥
item = 26104,張曼成
item = 26105,何儀
item = 26106,馬元義
item = 26107,趙弘
item = 26108,黃劭
item = 26109,韓忠
item = 26110,裴元紹
item = 26111,波才
item = 26112,何曼
item = 26113,劉辟
item = 26114,孫仲
item = 26115,龔都
item = 26116,卞喜
item = 26117,卜巳
item = 26118,嚴政
item = 26119,杜遠
item = 26120,張闓
item = 26121,唐周
item = 26122,程遠志
item = 26123,鄧茂
item = 26124,張讓
item = 26125,趙忠
item = 26126,封諝
item = 26127,段珪
item = 26128,曹節
item = 26129,侯覽
item = 26130,蹇碩
item = 26131,程曠
item = 26132,夏惲
item = 26133,郭勝
item = 26134,袁紹
item = 26135,袁術
item = 26136,王伏
item = 26137,賴昆
item = 26138,成應
item = 26139,申雄
item = 26140,雷彪
item = 26141,張豹
item = 26142,玲蘭
item = 26143,香蘭
item = 26144,青蘭
item = 26145,韓姥
item = 26146,楊姑
item = 26147,孟婆
item = 26148,李旭
item = 26149,姜平
item = 26150,蕭紹
item = 26151,碧月
item = 26152,如花
item = 26153,若燕
item = 26154,吳蛟
item = 26155,崔鷹
item = 26156,王鋒
item = 26157,銀花
item = 26158,如霜
item = 26159,紫衣
item = 26160,黃汞
item = 26161,洪達
item = 26162,卜虎
item = 26163,段浪
item = 26164,李梟
item = 26165,蕭刃
item = 26166,張牛角
item = 26167,褚飛燕
item = 26168,左髭丈八
item = 26169,郭大賢
item = 26170,張白騎
item = 26171,白繞
item = 26172,于氐根
item = 26173,楊鳳
item = 26174,李大目
item = 26175,眭固
item = 26176,左校
item = 26177,劉石
item = 26178,梅成
item = 26179,于毒
item = 26180,管承
item = 26181,胡玉
item = 26182,孫觀
item = 26183,王晟
item = 26184,梅乾
item = 26185,雷緒
item = 26186,僮芝
item = 26187,彭綺
item = 26188,鄒佗
item = 26189,鞏都
item = 26190,錢銅
item = 26191,瞿恭
item = 26192,闕宣
item = 26193,昌豨
item = 26194,張晟
item = 26195,張琰
item = 26196,胡才
item = 26197,李樂
item = 26198,高艾
item = 26199,周遺
item = 26200,周直
item = 26201,侯音
item = 26202,公孫盧
item = 26203,公孫瓚
item = 26204,公孫範
item = 26205,潘鳳
item = 26206,趙浮
item = 26207,賈範
item = 26208,袁遺
item = 26209,方悅
item = 26210,孔岫
item = 26211,關靖
item = 26212,范方
item = 26213,衛茲
item = 26214,李歷
item = 26215,程渙
item = 26216,關純
item = 26217,焦和
item = 26218,公孫續
item = 26219,武安國
item = 26220,耿武
item = 26221,韓馥
item = 26222,鮑信
item = 26223,嚴綱
item = 26224,劉岱
item = 26225,王匡
item = 26226,田楷
item = 26227,單經
item = 26228,張超
item = 26229,喬瑁
item = 26230,張楊
item = 26231,楊祚
item = 26232,朱漢
item = 26233,穆順
item = 26234,鮑忠
item = 26235,公孫越
item = 26236,劉表
item = 26237,蔡瑁
item = 26238,文聘
item = 26239,黃祖
item = 26240,蒯越
item = 26241,蒯良
item = 26242,王粲
item = 26243,胡車兒
item = 26244,黃射
item = 26245,蘇飛
item = 26246,王威
item = 26247,劉虎
item = 26248,韓玄
item = 26249,韓晞
item = 26250,韓嵩
item = 26251,呂公
item = 26252,傅巽
item = 26253,陳孫
item = 26254,張琥
item = 26255,金旋
item = 26256,陳生
item = 26257,張武
item = 26258,劉琮
item = 26259,蔡勳
item = 26260,蔡和
item = 26261,蔡中
item = 26262,甘寧
item = 26263,太史慈
item = 26264,趙雲
item = 26265,高昇
item = 26266,區星
item = 26267,張舉
item = 26268,張純
item = 26269,嵐姐
item = 26270,阿環
item = 26271,小釵
item = 26272,陳蘭
item = 26273,孟達
item = 26274,申耽
item = 26275,申儀
item = 26276,曹操
item = 26277,司馬懿
item = 26278,許褚
item = 26279,劉備
item = 26280,諸葛亮
item = 26281,關羽
item = 26282,孫權
item = 26283,周瑜
item = 26284,孫策
item = 26285,于吉
item = 26286,左慈
item = 26287,周倉
item = 26288,廖化
item = 26289,嚴白虎
item = 26290,嚴輿
item = 26291,劉繇
item = 26292,張英
item = 26293,陳橫
item = 26294,黃泉飛首
item = 26295,火焰蟻王
item = 26296,炎魔蜘蛛
item = 26297,史前冰蠶
item = 26298,冰魔蜘蛛
item = 26299,夜叉酋長
item = 26300,原始巨魔
item = 26301,黃忠
item = 26302,魏延
item = 26303,宋典
item = 26304,徐奉
item = 26305,董卓
item = 26306,華雄
item = 26307,呂布
item = 26308,貂蟬
item = 26309,顏良
item = 26310,文醜
item = 26311,紀靈
item = 26312,張勳
item = 26313,舒仲應
item = 26314,橋蕤
item = 26315,陳紀
item = 26316,雷薄
item = 26317,楊弘
item = 26318,韓暹
item = 26319,楊奉
item = 26320,樂就
item = 26321,袁胤
item = 26322,梁剛
item = 26323,劉勳
item = 26324,李豐
item = 26325,閻象
item = 26326,荀正
item = 26327,俞涉
item = 26328,袁耀
item = 26329,韓胤
item = 26330,劉璋
item = 26331,張任
item = 26332,泠苞
item = 26333,鄧賢
item = 26334,王累
item = 26335,鄒靖
item = 26336,張翼
item = 26337,劉巴
item = 26338,楊洪
item = 26339,高沛
item = 26340,楊懷
item = 26341,秦宓
item = 26342,劉瑰
item = 26343,張魯
item = 26344,閻圃
item = 26345,楊松
item = 26346,楊任
item = 26347,楊昂
item = 26348,楊柏
item = 26349,田豐
item = 26350,辛毗
item = 26351,辛評
item = 26352,逢紀
item = 26353,郭圖
item = 26354,審配
item = 26355,沮授
item = 26356,沮鵠
item = 26357,荀諶
item = 26358,袁尚
item = 26359,袁熙
item = 26360,袁譚
item = 26361,淳于瓊
item = 26362,蔣義渠
item = 26363,高幹
item = 26364,尹楷
item = 26365,韓猛
item = 26366,韓珩
item = 26367,麴義
item = 26368,高蕃
item = 26369,周昂
item = 26370,李儒
item = 26371,李傕
item = 26372,張濟
item = 26373,郭汜
item = 26374,樊稠
item = 26375,牛輔
item = 26376,胡軫
item = 26377,徐榮
item = 26378,董璜
item = 26379,李蒙
item = 26380,王方
item = 26381,田儀
item = 26382,董旻
item = 26383,李別
item = 26384,崔勇
item = 26385,趙岑
item = 26386,張遼
item = 26387,高順
item = 26388,陳宮
item = 26389,宋憲
item = 26390,侯成
item = 26391,魏續
item = 26392,李肅
item = 26393,曹性
item = 26394,成廉
item = 26395,郝萌
item = 26396,張邈
item = 26397,陳衛
item = 26398,秦誼
item = 26399,楊鋒
item = 26400,雍闓
item = 26401,朱褒
item = 26402,高定
item = 26403,鄂煥
item = 26404,于糜
item = 26405,樊能
item = 26406,趙昱
item = 26407,周昕
item = 26408,王朗
item = 26409,笮融
item = 26410,薛禮
item = 26411,朱皓
item = 26412,許貢
item = 26413,孫夏
item = 26414,彭脫
item = 26415,馬相
item = 26416,趙祇
item = 26417,吳霸
item = 26418,徐和
item = 26419,郭大
item = 26420,沈成
item = 26421,趙慈
item = 26422,李相如
item = 26423,江宮
item = 26424,張脩
item = 26425,朱蓋
item = 26426,胡蘭
item = 26427,白雀
item = 26428,五鹿
item = 26429,白波
item = 26430,浮雲
item = 26431,雷公
item = 26432,平漢
item = 26433,大計
item = 26434,孫璋
item = 26435,韓悝
item = 26436,渠穆
item = 26437,畢嵐
item = 26438,尚但
item = 26439,栗嵩
item = 26440,高望
item = 26441,張恭
item = 26442,呂強
item = 26443,王甫
item = 26444,祖郎
item = 26445,黃猗
item = 26446,金尚
item = 26447,惠衢
item = 26448,雷銅
item = 26449,李嚴
item = 26450,李恢
item = 26451,呂義
item = 26452,霍峻
item = 26453,卓膺
item = 26454,周群
item = 26455,鄧芝
item = 26456,劉循
item = 26457,譙周
item = 26458,龐義
item = 26459,許攸
item = 26460,崔琰
item = 26461,高覽
item = 26462,田疇
item = 26463,王琰
item = 26464,王昌
item = 26465,李暹
item = 26466,高碩
item = 26467,夏育
item = 26468,伍習
item = 26469,臧霸
item = 26470,薛蘭
item = 26471,李封
item = 26472,王楷
item = 26473,尹禮
item = 26474,吳敦
item = 26475,許汜
item = 26476,管承_MK2
item = 26477,兀突骨
item = 26478,祝融
item = 26479,孟獲
item = 26480,金翅鳥
item = 26481,鐵甲龍
item = 26482,龍炮戰車
item = 26483,羅剎
item = 26484,勾魂馬車
item = 26485,煉獄將軍
item = 26486,呼廚泉
item = 26487,軻比能
item = 26488,蹋頓
item = 26489,迷當大王
item = 26490,左賢王
item = 26491,徹里吉
item = 26492,那樓
item = 26493,樓班
item = 26494,速僕丸
item = 26495,俄何
item = 26496,燒戈
item = 26497,蛾遮塞
item = 26498,能臣
item = 26499,白虎文
item = 26500,義勇兵
item = 26501,朴刀兵
item = 26502,大刀兵
item = 26503,鍊鎚兵
item = 26504,槍兵
item = 26505,長槍兵
item = 26506,戟兵
item = 26507,騎兵
item = 26508,鐵騎兵
item = 26509,斧騎兵
item = 26510,弓兵
item = 26511,長弓兵
item = 26512,弩兵
item = 26513,女義勇兵
item = 26514,飛刀兵
item = 26515,近衛兵
item = 26516,刺客
item = 26517,輕騎兵
item = 26518,游騎兵
item = 26519,弓騎兵
item = 26520,蠻兵
item = 26521,籐甲兵
item = 26522,猛獸兵
item = 26523,象兵
item = 26524,匈奴兵
item = 26525,虎豹騎
item = 26526,劍兵
item = 26527,長劍兵
item = 26528,劍士
item = 26529,舞孃
item = 26530,舞姬
item = 26531,歌姬
item = 26532,精銳大刀兵
item = 26533,精銳鍊鎚兵
item = 26534,精銳長槍兵
item = 26535,精銳戟兵
item = 26536,精銳長弓兵
item = 26537,精銳弩兵
item = 26538,精銳近衛兵
item = 26539,精銳刺客
item = 26540,精銳鐵騎兵
item = 26541,精銳匈奴兵
item = 26542,精銳游騎兵
item = 26543,精銳弓騎兵
item = 26544,精銳長劍兵
item = 26545,精銳劍士
item = 26546,精銳舞姬
item = 26547,精銳歌姬
item = 26548,精銳籐甲兵
item = 26549,精銳猛獸兵
item = 26550,敵義勇兵
item = 26551,敵女義勇兵
item = 26552,敵朴刀兵
item = 26553,敵飛刀兵
item = 26554,敵槍兵
item = 26555,敵弓兵
item = 26556,敵輕騎兵
item = 26557,敵騎兵
item = 26558,敵大刀兵
item = 26559,敵長槍兵
item = 26560,敵長弓兵
item = 26561,敵弩兵
item = 26562,敵近衛兵
item = 26563,敵鐵騎兵
item = 26564,敵游騎兵
item = 26565,敵弓騎兵
item = 26566,敵力士
item = 26567,敵法術兵
item = 26568,敵標槍兵
item = 26569,敵炸彈兵
item = 26570,敵法術女兵
item = 26571,敵武鬥家
item = 26572,敵投石車
item = 26573,敵弩車
item = 26574,敵步行隊長
item = 26575,敵騎兵隊長
item = 26576,敵男飛刀兵
item = 26577,武魂狼騎兵
item = 26578,武魂神弓騎
item = 26579,武魂重劍兵
item = 26580,武魂劍豪
item = 26581,武魂戰姬
item = 26582,武魂女伶
item = 26583,武魂蠻甲兵
item = 26600,神刀兵
item = 26601,戰鎚兵
item = 26602,神槍兵
item = 26603,鐵戟兵
item = 26604,強弓兵
item = 26605,強弩兵
item = 26606,親衛兵
item = 26607,暗殺者
item = 26608,狼騎兵
item = 26609,神弓騎
item = 26610,重劍兵
item = 26611,劍豪
item = 26612,戰姬
item = 26613,女伶
item = 26614,蠻甲兵
item = 26615,修羅神刀兵
item = 26616,修羅戰鎚兵
item = 26617,修羅神槍兵
item = 26618,修羅鐵戟兵
item = 26619,修羅強弓兵
item = 26620,修羅強弩兵
item = 26621,修羅親衛兵
item = 26622,修羅暗殺者
item = 26623,修羅重劍兵
item = 26624,修羅劍豪
item = 26625,修羅戰姬
item = 26626,修羅女伶
item = 26627,修羅斧騎兵
item = 26628,修羅虎豹騎
item = 26629,修羅狼騎兵
item = 26630,修羅神弓騎
item = 26631,修羅蠻甲兵
item = 26632,修羅象兵
item = 26633,巨神刀兵
item = 26634,巨戰鎚兵
item = 26635,巨神槍兵
item = 26636,巨鐵戟兵
item = 26637,巨強弓兵
item = 26638,巨強弩兵
item = 26639,巨親衛兵
item = 26640,巨暗殺者
item = 26641,巨重劍兵
item = 26642,巨劍豪
item = 26643,雲武姬
item = 26644,幻歌伶
item = 26645,巨斧騎兵
item = 26646,巨虎豹騎
item = 26647,巨狼騎兵
item = 26648,巨神弓騎
item = 26649,巨蠻甲兵
item = 26650,巨象兵
item = 26700,夜叉
item = 26701,瘟神
item = 26702,青龍
item = 26703,白虎
item = 26704,朱雀
item = 26705,玄武
item = 26706,獸鬼
item = 26707,麋鹿
item = 26708,鬼火_召喚
item = 26709,鬼魅_召喚
item = 26710,鬼刀兵_召喚
item = 26711,鬼槍兵_召喚
item = 26712,舞獅_召喚
item = 26713,金豬_召喚
item = 26714,小荒鷲_召喚
item = 26715,小熊貓_召喚
item = 26716,小猛虎_召喚
item = 26717,魏旗_召喚
item = 26720,戰炎龍
item = 26721,玄冰龍
item = 26722,三足烏
item = 26723,勾陳
item = 26724,招司
item = 26725,赤猙獸
item = 26726,螭吻
item = 26727,檮杌
item = 26728,饕餮
item = 26729,蠱雕
item = 26750,投石車
item = 26751,衝車
item = 26752,火炎獸
item = 26753,井闌
item = 26754,轒轀車
item = 26755,弩車
item = 26756,銅人
item = 26757,鐵豹
item = 26800,治無戴
item = 26801,烏延
item = 26802,素利
item = 26803,雅丹
item = 26804,步度根
item = 26805,越吉
item = 26806,令居
item = 26807,厥機
item = 26808,彌加
item = 26809,伐同
item = 26810,治元多
item = 26811,骨進
item = 26812,育延
item = 26813,木鹿大王
item = 26814,帶來洞主
item = 26815,孟節
item = 26816,孟優
item = 26817,阿會喃
item = 26818,朵思大王
item = 26819,金環三結
item = 26820,董荼那
item = 26821,忙牙長
item = 26822,奚泥
item = 26823,土安
item = 26824,劉胄
item = 26825,鰲龍_黑
item = 26826,鰲龍_紅
item = 26827,鰲龍_藍
item = 26828,奔龍_紅
item = 26829,奔龍_藍
item = 26830,奔龍_綠
item = 26831,計蒙_紫
item = 26832,計蒙_黃
item = 26833,計蒙_紅
item = 26834,計蒙_藍
item = 26835,冰霜巨人
item = 26836,狂魔巨人
item = 26837,地底巨人
item = 26838,地底冰獸
item = 26839,地底魔獸
item = 26840,地底妖獸
item = 26841,石將軍
item = 26842,石敢當
item = 26843,石頭公
item = 26844,石頭人
item = 26845,法正
item = 26846,嚴顏
item = 26847,龐德
item = 26848,炎魔
item = 26849,冰魔
item = 26850,雷神
item = 26851,邪龍
item = 26852,火龍
item = 26853,蚩尤
item = 26854,阿修羅
item = 26855,鍾離昧
item = 26856,項伯
item = 26857,周殷
item = 26858,蕭公角
item = 26859,張逸
item = 26860,項莊
item = 26861,曹咎
item = 26862,丁公
item = 26863,鄭昌
item = 26864,陳嬰
item = 26865,樊噲
item = 26866,灌嬰
item = 26867,陳平
item = 26868,郭蒙
item = 26869,楊喜
item = 26870,蕭何
item = 26871,曹參
item = 26872,呂澤
item = 26873,薛公
item = 26874,貫高
item = 26875,帝王袁紹
item = 26876,帝王袁術
item = 26877,卑彌呼
item = 26878,卑彌弓呼
item = 26879,須佐
item = 26880,壹與
item = 26881,掖邪狗
item = 26882,伊聲耆
item = 26883,都市牛利
item = 26884,難升米
item = 26885,戴斯
item = 26886,烏越
item = 26887,土蜘蛛
item = 26888,青鬼
item = 26889,赤鬼
item = 26890,袁隗
item = 26891,焦觸
item = 26892,烏桓觸
item = 26893,陳琳
item = 26894,呂曠
item = 26895,呂翔
item = 26896,審榮
item = 26897,蔣奇
item = 26898,馬延
item = 26899,王修
item = 26900,夏侯惇_cosplay
item = 26901,夏侯淵_cosplay
item = 26902,典韋_cosplay
item = 26903,徐晃_cosplay
item = 26904,許褚_cosplay
item = 26905,張郃_cosplay
item = 26910,司馬懿_cosplay
item = 26911,郭嘉_cosplay
item = 26912,賈詡_cosplay
item = 26913,荀彧_cosplay
item = 26914,程昱_cosplay
item = 26915,曹植_cosplay
item = 26920,關羽_cosplay
item = 26921,張飛_cosplay
item = 26922,趙雲_cosplay
item = 26923,馬超_cosplay
item = 26924,黃忠_cosplay
item = 26925,魏延_cosplay
item = 26930,諸葛亮_cosplay
item = 26931,龐統_cosplay
item = 26932,姜維_cosplay
item = 26933,黃月英_cosplay
item = 26934,徐庶_cosplay
item = 26935,關鳳_cosplay
item = 26940,周瑜_cosplay
item = 26941,孫仁_cosplay
item = 26942,黃蓋_cosplay
item = 26943,周泰_cosplay
item = 26944,甘寧_cosplay
item = 26945,太史慈_cosplay
item = 26950,陸遜_cosplay
item = 26951,大喬_cosplay
item = 26952,小喬_cosplay
item = 26953,孫權_cosplay
item = 26954,魯肅_cosplay
item = 26955,呂蒙_cosplay
item = 26956,貂蟬_cosplay
item = 26957,妖化張角_cosplay
item = 26958,水鏡先生_cosplay
item = 26959,袁紹_cosplay
item = 26960,董卓_cosplay
item = 26961,呂布_cosplay
item = 26962,劉邦_cosplay
item = 26963,項羽_cosplay
item = 26966,曹孟德_cosplay
item = 26967,劉玄德_cosplay
item = 26968,孫伯符_cosplay
item = 26969,祝融_cosplay
item = 26970,卑彌呼_cosplay
item = 26971,孫堅_cosplay
item = 26972,張遼_cosplay
item = 26973,曹丕_cosplay
item = 26974,甄宓_cosplay
item = 26975,張苞_cosplay
item = 26976,法正_cosplay
item = 26977,關興_cosplay
item = 26978,關羽技魂_cosplay
item = 26979,張飛技魂_cosplay
item = 26980,趙雲技魂_cosplay
item = 26981,荀彧技魂_cosplay
item = 26982,程昱技魂_cosplay
item = 26983,魯肅技魂_cosplay
item = 26984,關羽黃金_cosplay
item = 26985,諸葛亮黃金_cosplay
item = 26986,馬超黃金_cosplay
item = 26987,黃蓋黃金_cosplay
item = 26988,大喬黃金_cosplay
item = 26989,典韋黃金_cosplay
item = 26990,程昱黃金_cosplay
item = 27000,文鴦
item = 27001,王雙
item = 27002,郝昭
item = 27003,司馬炎
item = 27004,文欽
item = 27005,王濬
item = 27006,樂進
item = 27007,于禁
item = 27008,曹休
item = 27009,牛金
item = 27010,李典
item = 27011,夏侯威
item = 27012,張繡
item = 27013,張燕
item = 27014,毋丘儉
item = 27015,夏侯涓
item = 27016,秦琪
item = 27017,宴明
item = 27018,蔡陽
item = 27019,車胄
item = 27020,孟坦
item = 27021,夏侯尚
item = 27022,楊秋
item = 27023,孫禮
item = 27024,夏侯德
item = 27025,王真
item = 27026,胡班
item = 27027,孔秀
item = 27028,朱靈
item = 27029,呂虔
item = 27030,王渾
item = 27031,徐質
item = 27032,張南
item = 27033,張允
item = 27034,毛玠
item = 27035,夏侯恩
item = 27036,李堪
item = 27037,司馬望
item = 27038,胡遵
item = 27039,夏侯楙
item = 27040,荀攸
item = 27041,楊修
item = 27042,司馬昭
item = 27043,司馬瑋
item = 27044,蔣濟
item = 27045,劉曄
item = 27046,桓範
item = 27047,華歆
item = 27048,劉延
item = 27049,夏侯玄
item = 27050,賈逵
item = 27051,曹羨
item = 27052,王植
item = 27053,司馬孚
item = 27054,董昭
item = 27055,蔣幹
item = 27056,吳綱
item = 27057,張顗
item = 27058,曹昂
item = 27059,曹芳
item = 27060,關興
item = 27061,張青鸞
item = 27062,馬岱
item = 27063,關索
item = 27064,吳蘭
item = 27065,王平
item = 27066,張嶷
item = 27067,陳到
item = 27068,趙廣
item = 27069,廖琴
item = 27070,趙統
item = 27071,吳子蘭
item = 27072,霍戈
item = 27073,郭攸之
item = 27074,傅彤
item = 27075,馮習
item = 27076,向寵
item = 27077,廖立
item = 27078,种拂
item = 27079,陳式
item = 27080,吳班
item = 27081,糜芳
item = 27082,黃權
item = 27083,陳應
item = 27084,鮑隆
item = 27085,費觀
item = 27086,傅士仁
item = 27087,劉賢
item = 27088,蔣舒
item = 27089,蔣斌
item = 27090,閻宇
item = 27091,張達
item = 27092,劉度
item = 27093,范疆
item = 27094,馬良
item = 27095,蔣琬
item = 27096,董允
item = 27097,馬謖
item = 27098,向朗
item = 27099,費褘
item = 27100,伊籍
item = 27101,李福
item = 27102,孫乾
item = 27103,糜竺
item = 27104,王伉
item = 27105,費詩
item = 27106,許靖
item = 27107,劉琦
item = 27108,甘倩
item = 27109,董厥
item = 27110,樊建
item = 27111,張紹
item = 27112,楊儀
item = 27113,趙累
item = 27114,陳珪
item = 27115,陳登
item = 27116,劉理
item = 27117,趙範
item = 27118,董和
item = 27119,陳震
item = 27120,朱桓
item = 27121,孫休
item = 27122,凌統
item = 27123,丁奉
item = 27124,孫韶
item = 27125,凌操
item = 27126,徐盛
item = 27127,孫翊
item = 27128,譚雄
item = 27129,全琮
item = 27130,陳武
item = 27131,陸抗
item = 27132,蔣欽
item = 27133,潘璋
item = 27134,孫峻
item = 27135,朱然
item = 27136,孫桓
item = 27137,諸葛靚
item = 27138,韓當
item = 27139,祖茂
item = 27140,全端
item = 27141,留略
item = 27142,朱據
item = 27143,董襲
item = 27144,孫異
item = 27145,費耀
item = 27146,傅嬰
item = 27147,駱統
item = 27148,陶濬
item = 27149,留贊
item = 27150,諸葛直
item = 27151,周胤
item = 27152,孫朗
item = 27153,馬忠
item = 27154,秦旦
item = 27155,孫靜
item = 27156,朱異
item = 27157,孫亮
item = 27158,諸葛恪
item = 27159,濮陽興
item = 27160,張紘
item = 27161,孫小虎
item = 27162,羊道
item = 27163,張休
item = 27164,滕麗
item = 27165,闞澤
item = 27166,滕胤
item = 27167,孔羨
item = 27168,陸績
item = 27169,于詮
item = 27170,嚴畯
item = 27171,顧雍
item = 27172,陸凱
item = 27173,謝景
item = 27174,孫瑜
item = 27175,程秉
item = 27176,潘濬
item = 27177,薛綜
item = 27178,薛瑩
item = 27179,太史享
item = 27180,解慕漱
item = 27181,烏引
item = 27182,延佗勃
item = 27183,烏違
item = 27184,閭達
item = 27185,矛八慕
item = 27186,余慶
item = 27187,弗斯侯
item = 27188,余禮
item = 27189,張茂
item = 27190,己婁
item = 27191,如栗
item = 27192,解夫婁
item = 27193,帶素
item = 27194,解邑朱
item = 27195,夫得佛
item = 27196,思龍
item = 27197,協保
item = 27200,李孚
item = 27201,馮禮
item = 27202,汪昭
item = 27203,岑璧
item = 27204,彭安
item = 27205,陰夔
item = 27206,劉邦
item = 27207,呂雉
item = 27208,項羽
item = 27209,虞姬
item = 27210,砂龍_1
item = 27211,黥布
item = 27212,龍且
item = 27213,項梁
item = 27214,章邯
item = 27215,董翳
item = 27216,范增
item = 27217,項聲
item = 27218,周蘭
item = 27219,武涉
item = 27220,司馬欣
item = 27221,韓信
item = 27222,彭越
item = 27223,張敖
item = 27224,夏侯嬰
item = 27225,傅寬
item = 27226,張良
item = 27227,酈食其
item = 27228,王陵
item = 27229,酈商
item = 27230,奚涓
item = 27231,科姆達斯
item = 27232,賽維爾
item = 27233,狄修斯
item = 27234,瓦勒良
item = 27235,卡利恩努斯
item = 27236,高盧斯
item = 27237,馬克希姆
item = 27238,凱拉卡拉
item = 27239,凱達
item = 27240,海利歐卡巴魯斯
item = 27241,哥迪亞
item = 27242,帕第納古斯
item = 27243,朱利安努斯
item = 27244,納傑爾
item = 27245,艾爾拜倫
item = 27246,馬克利努斯
item = 27247,迪亞杜曼尼安
item = 27248,普比努斯
item = 27249,巴爾比努斯
item = 27250,帕卡緹亞努斯
item = 27251,希班納古斯
item = 27252,李希尼亞努斯
item = 27253,砂龍_2
item = 27254,砂龍_3
item = 27255,砂龍_4
item = 27256,波斯野盜首領_1
item = 27257,波斯野盜首領_2
item = 27258,波斯野盜首領_3
item = 27259,波斯野盜首領_4
item = 27260,波斯野盜首領_5
item = 27261,雙尾妖蠍_1
item = 27262,雙尾妖蠍_2
item = 27263,雙尾妖蠍_3
item = 27264,雙尾妖蠍_4
item = 27265,雙尾妖蠍_5
item = 27266,砂龍_5
item = 27267,秦白骨騎兵王
item = 27268,朱蒙
item = 27269,高麗武將
item = 27270,子嬰
item = 27271,蒙武
item = 27272,蒙恬
item = 27273,蒙毅
item = 27274,王翦
item = 27275,王賁
item = 27276,呂不韋
item = 27277,李斯
item = 27278,尉繚
item = 27279,繆毒
item = 27280,白起
item = 27281,金蛙王
item = 27282,崔忠獻
item = 27283,王建
item = 27284,李成桂
item = 27285,蓋金
item = 27286,琉璃王
item = 27287,沸流王
item = 27288,溫祚王
item = 27289,東明王
item = 27290,東扶餘王
item = 27291,寨王‧妖五娘
item = 27292,修羅王‧魔陀
item = 27293,虛像‧魔心
item = 27294,妖魂
item = 27295,刀魂
item = 27296,山寨王‧嚴都
item = 27297,秦始皇
item = 27298,巨石魔
item = 27299,阿修羅_巨大
item = 27300,青年
item = 27301,工人
item = 27302,書生
item = 27303,富商
item = 27304,老漢
item = 27305,少女
item = 27306,婦人
item = 27307,老婦
item = 27308,男童
item = 27309,女童
item = 27310,乞丐
item = 27311,獵人
item = 27312,老將
item = 27313,騎馬老將
item = 27314,猛將
item = 27315,騎馬猛將
item = 27316,年輕將軍
item = 27317,騎馬將軍
item = 27318,官吏
item = 27319,騎馬官吏
item = 27320,步卒
item = 27321,測試仕官
item = 27322,守城小兵
item = 27323,煉石道人
item = 27324,行腳藥商
item = 27325,酒肉卒頭
item = 27326,武判校官
item = 27327,趙姑娘
item = 27328,張鏢頭
item = 27329,怪老人
item = 27330,長吏
item = 27331,駐地武將
item = 27332,挪移道長
item = 27333,吉穆
item = 27334,吉邈
item = 27335,高遜
item = 27336,田尚
item = 27337,許淨
item = 27338,滿寵
item = 27339,簡雍
item = 27340,諸葛瑾
item = 27341,夏侯和
item = 27342,劉封
item = 27343,天香
item = 27344,呂範
item = 27345,簿曹從事
item = 27346,別駕從事
item = 27347,兵曹從事
item = 27348,功曹從事
item = 27349,周聞
item = 27350,司馬朗
item = 27351,富商‧史耀前
item = 27352,大商‧甄滸仁
item = 27353,商人‧梅梁馨
item = 27354,孫家子弟
item = 27355,教官‧陳清波
item = 27356,虞翻
item = 27357,李異
item = 27358,祝公道
item = 27359,鐵匠老白
item = 27360,石頭
item = 27361,屠夫
item = 27362,小狗子
item = 27363,小寶
item = 27364,土地公廟
item = 27365,鞋販
item = 27366,攤販車
item = 27367,大石頭
item = 27368,小綠樹
item = 27369,騎術教官
item = 27370,百草婆
item = 27371,張昭
item = 27372,甄宓
item = 27373,大喬
item = 27374,小喬
item = 27375,典韋
item = 27376,貂蟬npc
item = 27377,孫仁
item = 27378,花叢
item = 27379,水井
item = 27380,騎馬教官一
item = 27381,騎馬教官二
item = 27382,騎馬女教官一
item = 27383,騎馬女教官二
item = 27384,帶刀隊長
item = 27385,NPC01猛男
item = 27386,NPC02年輕小販
item = 27387,NPC03算盤商人
item = 27388,NPC04持棍男
item = 27389,NPC05有錢人
item = 27390,NPC06夥計
item = 27391,NPC07粗漢
item = 27392,NPC08暴發戶
item = 27393,NPC09將軍
item = 27394,NPC10大官
item = 27395,NPC11年輕人
item = 27396,NPC12壯漢
item = 27397,NPC13胖子
item = 27398,NPC14胖女人
item = 27399,NPC15美女
item = 27400,NPC16少婦
item = 27401,NPC17姑娘
item = 27402,NPC18貴婦
item = 27403,NPC19錢莊老闆娘
item = 27404,NPC20婦人
item = 27405,NPC21俠女
item = 27406,NPC22少女
item = 27407,NPC23馬伕
item = 27408,爆擊教官‧曹真
item = 27409,爆擊教官‧張苞
item = 27410,爆擊教官‧黃蓋
item = 27411,公告欄
