
// 任務文字檔
[name]

item = 40000,1級 新手訓練
item = 40551,受許昌田毅之託，前往汝南，尋找楊慧娘的下落。
item = 40552,受託親筆信
item = 40553,向楊慧娘取得親筆信。
item = 40554,送達親筆信
item = 40555,返回許昌，將楊慧娘的親筆信交給田毅。
item = 40556,38級 一騎當千之猛者
item = 40557,
item = 40558,取回黑熊皮、虎皮
item = 40559,取回@B黑熊皮、虎皮各五張@A，向徐州的禰衡證自己是一騎當千的猛者。
item = 40560,38級 號令千軍之智者
item = 40561,
item = 40562,取鋸齒箭證之
item = 40563,取@B千支鋸齒箭@A，向徐州的禰衡證自己是號令千軍之智者。
item = 40564,38級 操鬼弄術之術者
item = 40565,
item = 40566,取妖珠、妖骨證之
item = 40567,取回@B妖珠、妖骨各十個@A，向徐州的禰衡證明自己是操鬼弄術之術者。
item = 40568,38級 六術皆達之權者
item = 40569,
item = 40570,取水妖之血、火妖之牙、骷髏頭、仙珠
item = 40571,水妖之血、火妖之牙、骷髏頭、仙珠各一，向徐州的禰衡證明自己是六術皆達之權者。
item = 40572,3級 小毛的請託
item = 40573,
item = 40574,蒐集20個石珠
item = 40575,幫成都西境的小毛收集20個@C石珠@A。
item = 40576,3級 璞玉項鍊
item = 40577,
item = 40578,收集15個@B璞玉@A
item = 40579,幫助建業東陌的宋姑娘，收集15個串項鍊用的@B璞玉@A。
item = 40580,3級 阿旺的請託
item = 40581,
item = 40582,收集15個@B清水@A
item = 40583,收集15份@B清水@A，讓洛陽西阡的士兵阿旺解渴。
item = 40584,3級 慈母手中線
item = 40585,
item = 40586,收集5個@B粗麻@A
item = 40587,幫成都的樊大娘尋找5份補衣服用的@B粗麻@A。
item = 40588,3級 願者上鉤
item = 40589,
item = 40590,收集15個@B鐵屑@A
item = 40591,收集15個@B鐵屑@A，讓建業的程太公做釣鉤。
item = 40592,3級 幫助小松
item = 40593,
item = 40594,收集15個@B碎肉@A
item = 40595,幫洛陽的小松準備15個@B碎肉@A。
item = 40596,5級 修補布娃娃
item = 40597,
item = 40598,收集30個@B棉絮@A
item = 40599,幫成都的小玲收集30的補布娃娃用的@B棉絮@A。
item = 40600,5級 五香燉肉
item = 40601,
item = 40602,收集30個@B碎肉@A
item = 40603,收集30個@B碎肉@A，讓建業的廚娘張嬸烹煮五香燉肉。
item = 40604,5級 璞玉項鍊
item = 40605,
item = 40606,收集30個@B璞玉@A
item = 40607,為洛陽的小販阿梅收集30個@B璞玉@A作為璞玉項鍊的原料。
item = 40608,5級 治療毒瘡
item = 40609,
item = 40610,收集35支@B短獸牙@A
item = 40611,為成都東境的張大準備35支@B短獸牙@A作為治療毒瘡的藥材。
item = 40612,5級 抹布收集
item = 40613,
item = 40614,收集35塊@B雜布@A
item = 40615,幫建業西陌的劉嫂準備打掃用的@B雜布@A35塊。
item = 40616,5級 裁縫的善心
item = 40617,
item = 40618,收集35張@B破獸皮@A
item = 40619,為洛陽東陌的薛裁縫收集35張@B破獸皮@A，作為皮裘的材料。
item = 40620,7級 紡織麻布
item = 40621,
item = 40622,收集30塊@B粗麻@A
item = 40623,為上庸東境織工陳密收集30個@B粗麻@A，作為紡織軍衣的原料。
item = 40624,7級 鑄鐵原料
item = 40625,
item = 40626,收集250支@B匕首@A
item = 40627,幫廬江東陌的鐵匠阿明收集用來當作修補材料的250支@B匕首@A。
item = 40628,7級 解毒藥丹
item = 40629,
item = 40630,收集20個@B毒液@A
item = 40631,收集20個@B毒液@A，讓許昌西境的王大夫製作解毒藥。
item = 40632,7級 骨粉肥料
item = 40633,
item = 40634,收集50個@B疏鬆獸骨@A
item = 40635,收集50個@B疏鬆獸骨@A，讓落鳳坡的徐大叔磨成骨粉施肥。
item = 40636,7級 磨練賭技
item = 40637,
item = 40638,收集50個@B骰子@A
item = 40639,收集50個@B骰子@A，讓合肥的賭徒高晉練習聽骰絕技。
item = 40640,7級 獸皮鞋
item = 40641,
item = 40642,收集50個@B破獸皮@A
item = 40643,幫虎牢關的鞋匠阿肥收集製作獸皮鞋用的50個@B破獸皮@A。
item = 40644,9級 療毒治傷
item = 40645,
item = 40646,收集15株@B解毒草@A
item = 40647,為上庸的樵夫郭樺尋來15株@B解毒草@A醫治毒蟲咬傷。
item = 40648,9級 雕刻良材
item = 40649,
item = 40650,收集1支@B山豬牙@A
item = 40651,幫廬江的雕工王晶尋找1支@B山豬牙@A作為雕刻材料。
item = 40652,9級 配製退熱藥
item = 40653,
item = 40654,收集3枚@B羊角@A
item = 40655,幫許昌的藥商賈旻尋找3枚@B羊角@A作為配製退熱散的藥材。
item = 40656,9級 孝子的心願
item = 40657,
item = 40658,收集3份@B鹿茸@A
item = 40659,幫助上庸東境的孝子趙武收集3份泡藥酒用的@B鹿茸@A。
item = 40660,9級 珍味燒肉
item = 40661,
item = 40662,收集15份@B肉塊@A
item = 40663,幫助廬江西陌的廚師江太收集15份烹調新菜色用的@B肉塊@A。
item = 40664,9級 獸牙箭頭
item = 40665,
item = 40666,收集15支@B獸牙@A
item = 40667,幫許昌東郊的獵戶傅強準備15支製作獸牙箭頭用的@B獸牙@A。
item = 40668,10級 盛水的陶器
item = 40669,
item = 40670,收集10個@B陶器@A
item = 40671,幫落鳳坡的徐大娘尋找10個盛水用的@B陶器@A。
item = 40672,10級 尋找冷泉
item = 40673,
item = 40674,收集10個@B冷泉@A
item = 40675,為合肥的王伯尋找10個泡茶用的@B冷泉@A。
item = 40676,10級 尋找狼牙
item = 40677,
item = 40678,收集1支@B狼牙@A
item = 40679,幫虎牢關的士兵阿寶準備1支@B狼牙@A交差。
item = 40680,10級 調製黏膠
item = 40681,
item = 40682,收集40個@B粘稠液體@A
item = 40683,幫上庸東境的磚瓦匠李功準備40個調製黏膠用的@B粘稠液體@A。
item = 40684,10級 尋找古銅錢
item = 40685,
item = 40686,收集20枚@B古銅錢@A
item = 40687,幫廬江西陌的古董商劉杰尋找20枚@B古銅錢@A。
item = 40688,10級 尋找藤條
item = 40689,
item = 40690,收集120支@B藤條@A
item = 40691,幫許昌東郊的木匠張明收集修補籬笆用的@B藤條@A120支。
item = 40692,15級 鍾利家書
item = 40693,
item = 40694,將@B鍾利家書@A送至@B成都@A
item = 40695,為上庸西境的行商鍾利送家書給@B成都@A的鍾夫人
item = 40696,向@B上庸西境@A的@B鍾利@A回報
item = 40697,回報@B上庸西境@A的行商鍾利，家書已送達。
item = 40698,金風玉露憶相逢
item = 40699,
item = 40700,收集花匠工房花束
item = 40701,打倒夜間出現在@B武關@A的@B夜鶴@A，收集@B花匠工房花束廿株@A。並回報@B滎陽的牛郎@A。
item = 40702,送花給織女
item = 40703,將花匠工房花束廿株送給許昌的織女，並提醒她與牛郎相會的時間。
item = 40704,向織女領賞
item = 40705,隨機取得「織雲項鍊」或「銀漢項鍊」。
item = 40706,17級 籌軍之需
item = 40707,
item = 40708,收集100份清水
item = 40709,收集@B100份清水@A，交給建業的孫靜，換取1功勳。
item = 40710,5級 強化軍力
item = 40711,
item = 40712,收集一把兩刃叉，交給高柔。
item = 40713,收集一把@B兩刃叉@A(打倒狂牛可以取得)，交給@B成都東境的高柔@A。
item = 40714,收集十把直劍，交給高柔。
item = 40715,收集@B十把直劍@A，交給@B成都東境的高柔@A。
item = 40716,收集百隻匕首，交給高柔。
item = 40717,收集@B百隻匕首@A，交給@B成都東境的高柔@A。
item = 40718,5級 強化軍力
item = 40719,
item = 40720,收集一把兩刃叉，交給趙咨。
item = 40721,收集一把@B兩刃叉@A(打倒狂牛可以取得)，交給@B建業西陌趙咨@A。
item = 40722,收集五把銅殳，交給趙咨。
item = 40723,收集@B五把銅殳@A，交給@B建業西陌趙咨@A。
item = 40724,收集百隻匕首，交給趙咨。
item = 40725,收集@B百隻匕首@A，交給@B建業西陌趙咨@A。
item = 40726,GM 事件
item = 40727,
item = 40728,領取GM 裝備
item = 40729,
item = 40730,15級 2006 西洋情人節事件(男生)
item = 40731,
item = 40732,收集礦砂，研製姬血石。
item = 40733,收集十個礦砂，交給陳留的打石工，研製成罕見的姬血石。(@C研製姬血石有一定的機率失敗@A)
item = 40734,與心儀的女性交換情人淚。
item = 40735,以姬血石向您心儀的女性交換情人淚，向月下老人取得紅花錦包。
item = 40736,15級 2006 西洋情人節事件(女生)
item = 40737,
item = 40738,收集清水，製作成情人淚。
item = 40739,收集十個清水，交給陳留的釀酒婆婆，製作情人淚。(@C研製情人淚有一定的機率失敗@A)
item = 40740,與心儀的男性交換姬血石。
item = 40741,以情人淚向您心儀的男性交換姬血石，向月下老人取得青葉錦包。
item = 40742,40級 禮包
item = 40743,
item = 40744,向北平的李理髱領取四十級禮包
item = 40745,40~49時領取的禮包。
item = 40746,50級 禮包
item = 40747,
item = 40748,向北平的李理髱領取五十級禮包
item = 40749,50~59時領取的禮包。
item = 40750,60級 禮包
item = 40751,
item = 40752,向北平的李理髱領取六十級禮包
item = 40753,60~69時領取的禮包。
item = 40754,70級 禮包
item = 40755,
item = 40756,向北平的李理髱領取七十級禮包
item = 40757,70以上時領取的禮包。
item = 40758,18級 魯富家書
item = 40759,
item = 40760,將@B魯富家書@A送至@B建業@A
item = 40761,為廬江東陌的漁郎魯富送家書給@B建業@A的@B魯嫂@A。
item = 40762,向@B廬江東陌@A的@B魯富@A回報
item = 40763,回報@B廬江東陌@A的漁郎魯富，家書已送達。
item = 40764,18級 韓彥家書
item = 40765,
item = 40766,將@B韓彥家書@A送至@B洛陽@A
item = 40767,為許昌西境的伍長韓彥送家書給@B洛陽@A的@B韓夫人@A。
item = 40768,向@B許昌西境@A的@B韓彥@A回報
item = 40769,回報@B許昌西境@A的伍長韓彥，家書已送達。
item = 40770,20級 赤子真情
item = 40771,
item = 40772,將@B小桃珠花@A送給@B上庸@A的@B小櫻@A
item = 40773,幫成都的小桃送珠花給搬家到@B上庸@A的好朋友@B小櫻@A。
item = 40774,向@B成都@A的@B小桃@A回報
item = 40775,告訴@B成都@A的@B小桃@A，珠花已送到小櫻手上。
item = 40776,20級 家鄉風味
item = 40777,
item = 40778,將@B家鄉魚乾@A送到@B廬江@A的@B
item = 40779,幫建業的楊大娘送@B家鄉魚乾@A給到@B廬江@A做生意的兒子@B楊慎@A。
item = 40780,向@B建業@A的@B楊大娘@A回報
item = 40781,告訴@B建業@A的@B楊大娘@A，魚乾已送到楊慎手上。
item = 40782,20級 傳送情意
item = 40783,
item = 40784,將@B王值情書@A送給@B許昌@A的@B張婕@A
item = 40785,幫助洛陽的書生王值送情書給@B許昌@A的@B張婕@A。
item = 40786,向@B洛陽@A的@B王值@A回報
item = 40787,回報@B洛陽@A的@B王值@A，情書已送交張婕。
item = 40788,22級 獨門辣椒醬
item = 40789,
item = 40790,將@B獨門辣椒醬@A送到@B上庸東境@A
item = 40791,代成都東境的錢氏送@B獨門辣椒醬@A給在@B上庸東境@A當兵的兒子@B廖仲@A。
item = 40792,向@B成都東境@A的@B錢氏@A回報
item = 40793,回報@B成都東境@A的@B錢氏@A，獨門辣椒醬已送達。
item = 40794,22級 代送飯盒
item = 40795,
item = 40796,將@B飯盒包袱@A送到@B烏林@A
item = 40797,代壽春東陌的嚴大嬸送@B飯盒包袱@A給到@B烏林@A砍柴的@B嚴大叔@A。
item = 40798,向@B壽春東陌@A的@B嚴大嬸@A回報
item = 40799,回報@B壽春東陌@A的@B嚴大嬸@A，飯盒已送給嚴大叔。
item = 40800,22級 代送手鐲
item = 40801,
item = 40802,將@B翠玉手鐲@A送到@B汝南@A
item = 40803,代靈壁的小販阿平運送@B翠玉手鐲@A給@B汝南@A的@B校尉陸剛@A。
item = 40804,向@B靈壁@A的@B阿平@A回報
item = 40805,回報@B靈壁@A的@B小販阿平@A，手鐲已送交校尉陸剛。
item = 40806,24級 代送鐵鏟
item = 40807,
item = 40808,將@B鐵鏟包袱@A送到@B武關@A
item = 40809,代落鳳坡的鐵匠李永將@B鐵鏟包袱@A送到@B武關@A給@B礦工董泉@A。
item = 40810,向@B落鳳坡@A的@B李永@A回報
item = 40811,回報@B落鳳坡@A的@B鐵匠李永@A，鐵鏟已送還礦工董泉。
item = 40812,24級 手足情深
item = 40813,
item = 40814,將@B白糖糕@A送到@B壽春東陌@A
item = 40815,幫合肥的淳于上送@B白糖糕@A給@B壽春東陌@A的弟弟@B獵戶淳于尚@A。
item = 40816,向@B合肥@A的@B淳于上@A回報
item = 40817,告知@B合肥@A的@B大商淳于上@A，白糖糕已送交弟弟淳于尚。
item = 40818,24級 押送古董
item = 40819,
item = 40820,將@B古董玉杯@A送到@B靈壁@A
item = 40821,幫虎牢關的行商華新送@B古董玉杯@A給@B靈壁@A的買主@B姜雄@A。
item = 40822,向@B虎牢關@A的@B華新@A回報
item = 40823,告知@B虎牢關@A的@B行商華新@A，古董玉杯已送交買主。
item = 40824,26級 傳送清冊
item = 40825,
item = 40826,將@B糧秣清冊@A送到@B襄陽@A
item = 40827,幫新野的官吏馮霖送@B糧秣清冊@A到@B襄陽@A交給@B校尉鮑睦@A。
item = 40828,向@B新野@A的@B馮霖@A回報
item = 40829,告知@B新野@A的@B官吏馮霖@A，糧秣清冊已安全送達。
item = 40830,26級 傳送公文
item = 40831,
item = 40832,將@B月報公文@A送到@B長沙@A
item = 40833,幫壽春的官吏張源送@B月報公文@A到@B長沙@A交給@B主簿閻峰@A。
item = 40834,向@B壽春@A的@B張源@A回報
item = 40835,告知@B壽春@A的@B官吏張源@A，月報公文已安全送達。
item = 40836,26級 傳達晉升令
item = 40837,
item = 40838,將@B晉升令@A送到@B徐州@A
item = 40839,幫汝南的主簿魏驤送@B晉升令@A到@B徐州@A交給@B伍長劉鑫@A。
item = 40840,向@B汝南@A的@B魏驤@A回報
item = 40841,回報@B汝南@A的@B主簿魏驤@A，晉升令已送達。
item = 40842,28級 綿竹軍機
item = 40843,
item = 40844,將@B綿竹亂賊密函@A送到@B綿竹@A
item = 40845,幫房陵的主簿向安送@B綿竹亂賊密函@A到@B綿竹@A交給@B主簿梅憲@A。
item = 40846,向@B房陵@A的@B向安@A回報
item = 40847,回報@B房陵@A的@B主簿向安@A，亂賊密函已安全送達。
item = 40848,28級 曲阿軍機
item = 40849,
item = 40850,將@B曲阿亂賊佈兵圖@A送到@B曲阿@A
item = 40851,幫天柱山的主簿賈彥送@B曲阿亂賊佈兵圖@A到@B曲阿@A交給@B主簿許道@A。
item = 40852,向@B天柱山@A的@B賈彥@A回報
item = 40853,回報@B曲阿@A的@B主簿賈彥@A，亂賊佈兵圖已安全送達。
item = 40854,28級 滎陽軍機
item = 40855,
item = 40856,將@B滎陽亂賊兵員冊@A送到@B滎陽@A
item = 40857,幫大興山的主簿張肇送@B滎陽亂賊兵員冊@A到@B滎陽@A交給@B主簿高堂俊@A。
item = 40858,向@B大興山@A的@B張肇@A回報
item = 40859,回報@B大興山@A的@B主簿張肇@A，亂賊兵員冊已安全送達。
item = 40860,30級 方寶的問候
item = 40861,
item = 40862,將@B方寶親筆信@A送到@B宛@A
item = 40863,幫新野的士兵方寶送@B親筆信@A到@B宛@A交給@B士兵葉嘉@A。
item = 40864,向@B新野@A的@B方寶@A回報
item = 40865,回報@B新野@A的@B士兵方寶@A，親筆信已交給葉嘉。
item = 40866,30級 字畫賀禮
item = 40867,
item = 40868,將@B古董字畫@A送到@B江夏@A
item = 40869,幫長沙的紀夫人送@B古董字畫@A給@B江夏@A的@B胡夫人@A當賀禮。
item = 40870,向@B長沙@A的@B紀夫人@A回報
item = 40871,回報@B長沙@A的@B紀夫人@A，古董字畫已交予胡夫人。
item = 40872,24級 發送訂單
item = 40873,
item = 40874,將@B綵帶樣品@A送到@B江夏@A
item = 40875,幫汝南的染工常弗送@B綵帶樣品@A給@B江夏@A的@B布商秦發@A。
item = 40876,向@B汝南@A的@B常弗@A回報
item = 40877,回報@B汝南@A的@B染工常弗@A，布商秦發已確認過樣品。
item = 40878,31級 運送甘草
item = 40879,
item = 40880,將@B甘草包袱@A送到@B長沙@A
item = 40881,幫宛的藥商陳基送@B甘草包袱@A給@B長沙@A的@B夏侯大夫@A。
item = 40882,向@B宛@A的@B陳基@A回報
item = 40883,回報@B宛@A的@B陳基@A，甘草包袱已送交夏侯大夫。
item = 40884,31級 發送喜帖
item = 40885,
item = 40886,將@B胡奎喜帖@A送到@B汝南@A
item = 40887,幫江夏的胡奎送@B喜帖@A給@B汝南@A的好友@B張奉@A。
item = 40888,向@B江夏@A的@B胡奎@A回報
item = 40889,回報@B江夏@A的@B胡奎@A，喜帖已送交張奉。
item = 40890,31級 妹妹的邀請
item = 40891,
item = 40892,將@B陶芬喜帖@A送到@B長沙@A
item = 40893,幫江夏西陌的陶芬送@B喜帖@A給遠嫁@B長沙@A的姊姊@B夏侯夫人@A。
item = 40894,向@B江夏西陌@A的@B陶芬@A回報
item = 40895,回報@B江夏西陌@A的@B陶芬@A，親筆信已送交姊姊夏侯夫人。
item = 40896,33級 運送綢緞
item = 40897,
item = 40898,將@B精選綢緞@A送到@B江夏東墎@A
item = 40899,幫新野城東的布商傅榮送@B精選綢緞@A給@B江夏@A的貨主@B繡工龐四娘@A。
item = 40900,向@B新野城東@A的@B傅榮@A回報
item = 40901,回報@B新野城東@A的@B傅榮@A，精選綢緞已送交龐四娘。
item = 40902,33級 運送披風
item = 40903,
item = 40904,將@B披風包袱@A送到@B襄陽青龍道@A
item = 40905,幫江夏東墎的駱夫人送@B披風包袱@A給前往@B襄陽青龍道@A遊玩的兒子@B駱玉@A。
item = 40906,向@B江夏東墎@A的@B駱夫人@A回報
item = 40907,回報@B江夏東墎@A的@B駱夫人@A，披風包袱已交予駱玉。
item = 40908,33級 送達調職令
item = 40909,
item = 40910,將@B調職令@A送到@B徐州西阡@A
item = 40911,幫汝南東境的長史闞正送@B調職令@A給@B徐州西阡@A的@B校尉簡義@A。
item = 40912,將送達的消息回報給@B汝南西境的長史闞正。
item = 40913,回報@B汝南西境的闞正@A，調職令已確實送達。
item = 40914,33級 花瓶賀禮
item = 40915,
item = 40916,將@B龍鳳花瓶@A送到@B江夏@A
item = 40917,幫江州的雷禾送@B龍鳳花瓶@A給@B江夏@A的@B都尉胡德@A當賀禮。
item = 40918,向@B江州@A的@B雷禾@A回報
item = 40919,告知@B江州的雷禾@A，龍鳳花瓶的賀禮已送交都尉胡德。
item = 40920,33級 代送樣品
item = 40921,
item = 40922,將@B漆器樣品@A送到@B襄陽@A
item = 40923,幫柴桑的商人蔡任送@B漆器樣品@A給@B襄陽@A的@B商人令狐宏@A。
item = 40924,向@B柴桑@A的@B蔡任@A回報
item = 40925,告知@B柴桑@A的@B蔡任@A，漆器樣品已送交商人令狐宏。
item = 40926,33級 代送合同
item = 40927,
item = 40928,將@B買賣合同@A送到@B汝南@A
item = 40929,幫長安的商人孟光送@B買賣合同@A給@B汝南@A的@B商人蘇釗@A。
item = 40930,向@B長安@A的@B孟光@A回報
item = 40931,告知@B長安的商人孟光@A，買賣合同已送交蘇釗。
item = 40932,@C30級@A 道具補血之技
item = 40933,
item = 40934,收集學習道具補血之技的材料
item = 40935,收集：藥草二百五十個、藥丸五十個、藥丹一個；包子二百五十個、飯糰五十個、小籠包一個，證明了解體力恢復的需求。花費三萬技能點學習道具補血之技。
item = 40936,
item = 40937,
item = 40938,@C30級@A 道具補技之法
item = 40939,
item = 40940,收集學習道具補技之法的材料
item = 40941,收集濁酒二百五十個、老酒二十個、蔘茸酒一個；清水二百五十個、冷泉五十個，證明理解技力恢復的需求。花費三萬技能點學習道具補技之法。
item = 40942,
item = 40943,
item = 40944,50級 平蠻指掌圖
item = 40945,
item = 40946,趕赴建寧西境收取南蠻地形圖一
item = 40947,趕赴@B建寧西境@A向@B令史秦量@A收取@B南蠻地形圖一@A。
item = 40948,趕赴建寧收取南蠻地形圖二
item = 40949,趕赴@B建寧@A向@B令史鄧民@A收取@B南蠻地形圖二@A。
item = 40950,趕赴建寧東境收取南蠻地形圖三
item = 40951,趕赴@B建寧東境@A向@B令史顧玄@A收取@B南蠻地形圖三@A。
item = 40952,趕赴峨嵋山收取南蠻地形圖四
item = 40953,趕赴@B峨嵋山@A向@B令史郭凡@A收取@B南蠻地形圖四@A。
item = 40954,趕赴江州西阡收取南蠻地形圖五
item = 40955,趕赴@B江州西阡@A向@B令史張樂@A收取@B南蠻地形圖五@A。
item = 40956,趕赴巫峽收取南蠻地形圖六
item = 40957,趕赴@B巫峽@A向@B令史朱陽@A收取@B南蠻地形圖六@A。
item = 40958,趕赴江州東境收取南蠻地形圖七
item = 40959,趕赴@B東境@A向@B令史李杰@A收取@B南蠻地形圖七@A。
item = 40960,向江州的鄉導官呂凱覆命
item = 40961,返回@B江州@A，將七卷@B南蠻地形圖@A交給@B鄉導官呂凱@A。
item = 40962,1級 強襲倭寇！奪漢倭奴金印！ 
item = 40963,
item = 40964,奪回漢倭奴金印
item = 40965,擊殺在邪馬台一帶作亂的@B卑彌弓呼,須佐,壹與,掖邪狗,伊聲耆,都市牛利,難升米,戴斯,烏越@A，並取回@C漢倭奴金印@A
item = 40966,起司製造器的尋找
item = 40967,
item = 40968,交還起司製造器
item = 40969,找到拿走起司製造器的黑幫殺手後，交給阿滋。
item = 40970,黃金起司的製造
item = 40971,
item = 40972,回答阿滋的問題
item = 40973,答對可請阿滋製造黃金起司。
item = 40974,追捕惡鬼
item = 40975,
item = 40976,打倒隱形的陰間幽靈取得五個@B陰魂@A
item = 40977,幫助@B成都@A、@B建業@A、@B洛陽@A的@B鬼都官吏@A，打倒隱形的陰間幽靈取得五個@B陰魂@A。
item = 40978,一個好人
item = 40979,
item = 40980,到@B宛@A找@B岳老@A購買禮物
item = 40981,幫@B長安@A的@B郝仁@A到@B宛@A向@B岳老@A購買禮物
item = 40982,將禮物交給@B許昌@A的@B鄭媚@A
item = 40983,幫@B長安@A的@B郝仁@A送禮物給@B許昌@A的@B鄭媚@A
item = 40984,將結果告訴@B長安@A的@B郝仁@A
item = 40985,將鄭媚的答覆告知@B長安@A的@B郝仁@A
item = 40986, 逆襲！！去死去死團！
item = 40987,
item = 40988,破壞@B五彩花卉@A，取回74個@B花卉殘枝@A
item = 40989,為@B壽春@A的@B去死去死團團長@A破壞@B五彩花卉@A，並取回74個@B花卉殘枝@A
item = 40990,入伍犒賞
item = 40991,
item = 40992,挪移道長的告誡
item = 40993,與挪移道長說話。
item = 40994,20級 禮包
item = 40995,
item = 40996,向洛陽、建業、成都的東華大仙領取二十級禮包
item = 40997,20~29時領取的禮包。
item = 40998,30級 禮包
item = 40999,
item = 41000,向洛陽、建業、成都的東華大仙領取三十級禮包
item = 41001,30~39時領取的禮包。
item = 41002,2006 中秋節活動
item = 41003,
item = 41004,秘密軍需
item = 41005,幫@B長安@A的@B義勇軍指揮官@A完成軍需單的任務。
item = 41006,50級 以牙還牙
item = 41007,
item = 41008,替波普出氣並帶回證明
item = 41009,為@B敦煌@A的波普帶回@B六十把@A@B折斷的胡刀@A，以為證明
item = 41010,50級 東方的美食
item = 41011,
item = 41012,主食：牛肉大餅
item = 41013,為@B敦煌@A的@B廚師漢穆耳@A準備@B三十份牛肉大餅@A
item = 41014,副食：馬奶酒
item = 41015,為@B敦煌@A的@B廚師漢穆耳@A準備@B三十份馬奶酒@A
item = 41016,0級 勇闖羅馬
item = 41017,
item = 41018,奪回『西域通行令』
item = 41019,協助@B敦煌@A的@B西域長史@A從西羌部族的敵兵身上取回@B西域通行令@A。
item = 41020,2006年耶誕活動
item = 41021,
item = 41022,收集10雙耶誕毛襪
item = 41023,交給位於三國各首都的耶誕老人
item = 41024,60級 軍方真空
item = 41025,
item = 41026,交出全身技力
item = 41027,花費@B技能點60000@A，向@B安定的卞綿針@A，正式開始：真空的學習。
item = 41028,掠取冀州軍旗
item = 41029,找尋出沒的冀州將領，打倒跟隨的@C冀州精銳刀兵@A取回一面@B冀州軍旗@A。@C掉落率0.5 %@A。
item = 41030,掠取涼州軍旗
item = 41031,找尋出沒的涼州將領，打倒跟隨的@C涼州精銳槍兵@A取回一面@B涼州軍旗@A。@C掉落率0.5 %@A。
item = 41032,再次證明自己擁有學習的能力
item = 41033,提昇等級達 65級。
item = 41034,學習必殺技：真空
item = 41035,花費60000技能點，向卞綿針學習必殺技真空。
item = 41036,20級 集箭之束
item = 41037,
item = 41038,學習使用箭袋
item = 41039,收集250支鐵箭、100支鋸齒箭，交給獵人。#花費1200技能點，學習特殊技能：@C箭袋@A。
item = 41040,15級 五一勞動節獎勵事件
item = 41041,
item = 41042,收集五十一個石珠，
item = 41043,交給北平的勞動結
item = 41044,將勞動結晶交給，
item = 41045,會稽的儈勒。
item = 41046,將勞動證明，
item = 41047,交給建寧的武伊。
item = 41048,秦陵傳聞
item = 41049,
item = 41050,秦陵謠傳
item = 41051,坊間謠傳秦皇陵埋藏大量寶藏，因此有不少人想一探秦陵的真相。
item = 41052,小道消息
item = 41053,到@B長安市場@A找尋蛛絲馬跡，接著跟@B小販@C(454.12)@A說話。
item = 41054,李氏後代
item = 41055,到@B長安東阡@A處，找到李氏子孫-@B李同@C(39.0)@A。
item = 41056,等價交換
item = 41057,到@B洛陽西阡@A可找到@B李虎@C(885.0)@A。
item = 41058,尋回地圖
item = 41059,將@B30個高級棉絮@A給李虎，並換得@B秦皇陵的半張地圖@A。
item = 41060,陵圖再現
item = 41061,回到@B長安東阡@A，將@B秦皇陵的半張地圖@A交回給@B李同之父@C　(36.0)@A。
item = 41062,官吏張善
item = 41063,來到@B泰山@A跟@B張善@C(315.1)@A談話，以@B秦皇陵的完整地圖@A作為證明。
item = 41064,送禮之道
item = 41065,收集完@B茶葉30個@A給官吏張善，就能取得@B金雁的圖樣@A。
item = 41066,打造金雁
item = 41067,將@B銅條30個@A交給住在@B泰山@A的@B鍛造師@C(323.1)@A，需付@B1000兩@A。
item = 41068,陵墓老人
item = 41069,前往@B秦皇陵第二層@A，與@B可疑的老人@C(980.26)@A對話，即可獲得妖兵碎片福袋，完成此項任務。
item = 41070,10級 新手職業技能包
item = 41071,
item = 41072,向軍訓教官領取
item = 41073,10級時所領取的獎勵
item = 41074,30級 初階職業包
item = 41075,
item = 41076,向軍訓教官領取
item = 41077,30級時所領取的獎勵
item = 41078,40級 進階職業包
item = 41079,
item = 41080,向軍訓教官領取
item = 41081,40級時所領取的獎勵
item = 41082,50級 出師職業包
item = 41083,
item = 41084,向軍訓教官領取
item = 41085,50級時所領取的獎勵
item = 41086,61級 特殊獎勵
item = 41087,
item = 41088,向練級教官領取
item = 41089,61級以上時所領取的獎勵
item = 41090,拿回被奪走的草把子與青布慢子
item = 41091,
item = 41092,蒐集@B20個草把子@A及@B10張青布慢子@A
item = 41093,前往前方敵軍陣地清查@B地上的貨箱@A，蒐集到@B20個草把子@A與@B10張青布慢子@A。蒐集完成後，到達下一個安全地點遞交給諸葛臥龍。
item = 41094,計時三十分
item = 41095,
item = 41096,倒數上線遊戲時間三十分鐘
item = 41097,放棄無效。
item = 41098,計時一小時
item = 41099,
item = 41100,倒數上線遊戲時間一小時
item = 41101,放棄無效。
item = 41102,30級獎勵
item = 41103,
item = 41104,領取30級獎勵
item = 41105,跟新兵領導官領取該階段的獎勵
item = 41106,40級獎勵
item = 41107,
item = 41108,領取40級獎勵
item = 41109,跟新兵領導官領取該階段的獎勵
item = 41110,50級獎勵
item = 41111,
item = 41112,領取50級獎勵
item = 41113,跟新兵領導官領取該階段的獎勵
item = 41114,60級獎勵
item = 41115,
item = 41116,領取60級獎勵
item = 41117,跟新兵領導官領取該階段的獎勵
item = 41118,70級獎勵
item = 41119,
item = 41120,領取70級獎勵
item = 41121,跟新兵領導官領取該階段的獎勵
item = 41122,80級獎勵
item = 41123,
item = 41124,領取80級獎勵
item = 41125,跟新兵領導官領取該階段的獎勵
item = 41126,40級經驗加倍符領取
item = 41127,
item = 41128,領取40級經驗加倍符
