// 武將技名稱解說字串檔

[name]
item = 16002,命療術
item = 16569,技能點數的上限值提昇。#【討伐十常侍】#任務NPC#長安：閔貢(342,10)
item = 16570,體力提昇
item = 16571,體力的上限值提昇。#【體力上限增加】#任務NPC#柴桑：張秀(205,14)
item = 16572,技力提昇
item = 16573,技力的上限值提昇。#【為五斗米祭酒】#任務NPC#鄴：五斗米天師(114,18)
item = 16574,道具使用加成
item = 16575,恢復體力、技力的道具效果提昇。#【左慈的請託】#任務NPC#左慈山屋：左慈(87,1)
item = 16576,怒氣爆擊
item = 16577,氣力全滿時，爆擊率提昇。#【怒氣爆擊】#任務NPC#北海：孔融(143,12)
item = 16578,箭袋
item = 16579,儲存箭支的空間。#【集箭之束】#任務NPC#許昌：獵人(51,11)#壽春：獵人(51,11)#新野：獵人(51,11)
item = 16580,耗費技力降低
item = 16581,使用武將計的技力需求降低。#【祁纖的技力降低訓練】#任務NPC#豫章：祁纖(248,9)
item = 16582,必殺技爆擊
item = 16583,使用必殺技時機率性發動真勁。#【必殺技爆擊書】#王或怪物掉落取得
item = 16584,武將技爆擊
item = 16585,使用攻擊型武將技時機率性發動真勁。#【武將技爆擊書】#王或怪物掉落取得
