// NPC名稱(複製到 GameResource.txt)

[name]
item = 50000,現在天下大亂，當兵打仗是最有發展的啦！
item = 51078,你還要再次前往@B黃泉路@A嗎？
item = 51079,是
item = 51080,否
item = 51081,哪你要離開了嗎？這樣的話將會回到你的@C重生點@A，你確定嗎？
item = 51082,是
item = 51083,否
item = 51084,氣絕的苦痛你一定嘗過了吧。身上的力量被侵蝕，在點點滴滴的時間流逝之中失去長久累積的經驗，這樣的痛苦實在難受。
item = 51085,你要不要學習可以讓這樣的痛苦降低的技能呢？
item = 51086,是
item = 51087,否
item = 51088,你現在有太多牽掛不適合學習死亡的心得。##(@C承接任務已達上限@A)
item = 51089,你現在要前往黃泉路了嗎？只要@B到?黃泉路盡頭，你就能學得死亡的心得了@A。千萬切記絕不能中途放棄，一但放棄，便得要重頭來過了。##(@C一但進入黃泉路，便只能回到您的重生點@A)
item = 51090,是
item = 51091,否
item = 51092,死亡心得能夠有效的降低在氣絕的時候失去的經驗值傷害，提升到最高級時，近乎可以無痛死亡啊。#想要再挑戰一次黃泉路嗎？##(@C一但進入黃泉路，便只能回到您的重生點@A)
item = 51093,是
item = 51094,否
item = 51095,你現在有太多牽掛不適合學習死亡的心得。##(@C承接任務等級限制 12@A)
item = 51096,氣絕的苦痛你一定嘗過了吧。身上的力量被侵蝕，在點點滴滴的時間流逝之中失去長久累積的經驗，這樣的痛苦實在難受。
item = 51097,你要不要學習可以讓這樣的痛苦降低的技能呢？
item = 51098,是
item = 51099,否
item = 51100,你現在有太多牽掛不適合學習死亡的心得。##(@C承接任務已達上限@A)
item = 51101,你現在要前往黃泉路了嗎？只要@B到?黃泉路盡頭，你就能學得死亡的心得了@A。千萬切記絕不能中途放棄，一但放棄，便得要重頭來過了。##(@C一但進入黃泉路，便只能回到您的重生點@A)
item = 51102,是
item = 51103,否
item = 51104,死亡心得能夠有效的降低在氣絕的時候失去的經驗值傷害，提升到最高級時，近乎可以無痛死亡啊。#想要再挑戰一次黃泉路嗎？##(@C一但進入黃泉路，便只能回到您的重生點@A)
item = 51105,是
item = 51106,否
item = 51107,你現在有太多牽掛不適合學習死亡的心得。##(@C承接任務等級限制 12@A)
item = 51108,氣絕之時將失去許多功力，若要不為此所苦，僅僅學會@B死亡心得@A是不夠的。若不能像我一樣，將這個技巧修練到爐火純青的至高境界，恐怕……
item = 51109,小子！別以為拼命提高自己的功力，就可以行遍天下。人外有人、天外有天，若不能學會@C死亡心得@A，一旦遇到比自己高強的人物，氣絕一次便能讓你長久的修行毀於一旦。
item = 51110,願聞其詳
item = 51111,死又沒有什麼大不了
item = 51112,說到@C死亡心得@A這門技術，可不是一般人就學得會的。首先，你必須擁有@B十二層以上的功力(等級 12)@A，才能前往各地拜求名師。
item = 51113,天下之大，能夠教授你@C死亡心得@A的，唯有深居@B黃泉道@A上的仙童。要見到這位仙童，方法雖是不易，但也不是難如登天。
item = 51114,天下修仙名人：#@B許昌@A城中@C左慈@A，#@B上庸@A城中@C黃承彥@A以及#@B盧江@A城中的@C於吉@A。#能夠獲得他們認可，習得此一技能，日後氣絕時便只會流失少許功力。
item = 51115,這@C死亡心得@A可以說是天下一絕，若可以學得會，可是有百般助益，你怎能如此看輕呢？
item = 51116,貧道昨夜作一怪夢，苦思許久皆不得解，不知施主可有興趣參悟？
item = 51117,願意
item = 51118,拒絕
item = 51119,貧道在夢中只見耀眼白光，空中傳聲曰：「@B將游標移到任務選單的任務說明欄上，會出現詳細的步驟說明@A」。此話不知何解，敢問施主可有領悟？
item = 51120,施主無意參悟，貧道亦不強求，一切隨緣吧！
item = 51121,你要前往方外之地？
item = 51122,前往@B方外之地-校台@A
item = 51123,前往@B礦場@A
item = 51124,前往@B晶洞@A
item = 51125,否
item = 51126,你要前往方外之地？
item = 51127,前往@B方外-練兵場@A
item = 51128,前往@B礦場@A
item = 51129,前往@B晶洞@A
item = 51130,否
item = 51131,你要前往方外之地？
item = 51132,前往@B方外之地-修所@A
item = 51133,前往@B礦場@A
item = 51134,前往@B晶洞@A
item = 51135,否
item = 51136,英雄乃無借之仕，老夫愛莫能助。找在附近的民兵都伯吧，也許他能幫你回到首都。
item = 51137,那就回到洛陽去囉！
item = 51138,那就回到成都去囉！
item = 51139,那就回到建業去囉！
item = 51140,要回到戰火連綿的喧囂塵世嗎？
item = 51141,是
item = 51142,否
item = 51143,前往幽冥道
item = 51144,那就前往礦區吧！
item = 51145,那就前往礦區吧！
item = 51146,那就前往礦區吧！
item = 51147,要回洛陽了嗎？
item = 51148,是
item = 51149,否
item = 51150,要回成都了嗎？
item = 51151,是
item = 51152,否
item = 51153,要回建業了嗎？
item = 51154,是
item = 51155,否
item = 51156,那就前往晶洞吧！
item = 51157,那就前往晶洞吧！
item = 51158,那就前往晶洞吧！
item = 51159,劣者鑽研醫術多年，參有健體秘術@B體力回覆@A，冀望有朝一日世間再無病痛苦楚，人人得享天年。
item = 51160,劣者一生觀人無數，汝之修為已非平凡，若得修習此健體秘術@B體力回覆@A，實乃大幸。#修習此術，除自身之修為不凡，更需@B平慮草@A為藥引，方能通暢四肢百骸。汝意欲為之否？
item = 51161,願意
item = 51162,拒絕
item = 51163,此者修身養息之事，若非出自本身意願，?是強加於汝，亦是無用。望他日再會之時，汝已轉念。
item = 51164,汝實力尚淺，無法修習此般奇術，望汝多加精進，教劣者秘術得有傳人。##(@C體力回覆：學習等級限制 23@A)
item = 51165,汝有此意，劣者亦感欣慰。@C平慮草@A尋之不易；耳聞@B新野城東百草公@A對此物甚熟，汝不妨一探。
item = 51166,爾此刻心緒煩燥，不宜修習此法。為劣者一時未覺，請多加包涵。##(@C承接任務已達上限@A)
item = 51167,普天之下似乎就只有@B新野城東的百草公@A知曉@B平慮草@A的下落了。
item = 51168,這@B平慮草@A實為天下難得奇物，汝能得此物，非但對修習@B體力回覆@A之術能有助益，更能使日後氣血更為活暢。今授汝此法，望汝勤加修練，日後闖蕩天下必有大益。
item = 51169,汝已習得劣者多年秘法@B體力回覆@A，假已時日定能超越劣者修為。無奈潛心參修之五禽戲尚未有果，否者定將此藝傾囊相授。
item = 51170,汝之相貌非凡，劣者確實曾經見過……
item = 51171,老朽熟知天下百草，舉凡奇花異木、詭草吊竹無一不曉。
item = 51172,借道前往大雪山
item = 51173,無事叨擾、多加原諒
item = 51174,區區小事，何足掛齒。
item = 51175,呵！呵！呵！#沒事就好，沒事就好。
item = 51176,老朽熟知百草，舉凡天下奇花異木，詭草吊竹無一不曉。若是要尋訪奇花異木，找我就對了。如果問到藥性藥效……就得找醫術上的奇人：華陀，華先生了。
item = 51177,年輕人，老朽看你氣宇不凡，但眉目之間卻有隱隱異色，不知所為何由？
item = 51178,正在尋找平慮草
item = 51179,沒什麼
item = 51180,世上的珍貴藥材，大多有靈禽異獸相依相存，尋訪奇藥時不可不慎。
item = 51181,你想找的@B平慮草@A只生長在大雪山上，必須擊敗守護的@C雪熊@A才能獲得，這可不是件容易的事，你當真要試上一試？
item = 51182,是的
item = 51183,還是算了
item = 51184,世上的珍貴藥材，大多有靈禽異獸相依相存，尋訪奇藥時不可不慎。若力有未逮，何妨以錢財向他人購之。
item = 51185,挑戰@B雪熊@A勇氣可嘉！老朽送你一程吧！
item = 51186,尋得平慮草，就趕緊回@B宛城@A找@B華陀@A先生吧。
item = 51187,想要@B平慮草@A就必須擊敗@C雪熊@A。這可不是件容易的事，你要多加小心！
item = 51188,尋得平慮草，就趕緊回@B宛城@A找@B華陀@A先生吧。
item = 51189,昭有生之年，誓必扶助明主，使天下百姓得享太平盛世。若見能人，必以自創之心神專一法門@B技力回覆@A授之。
item = 51190,張某觀汝，絕非泛泛之輩，吾今有性命之危，不知閣下可願救命？
item = 51191,願意
item = 51192,拒絕
item = 51193,張某身患溶血惡疾，能療此疾者，世上惟@C鬼目菜@A而已，此物至為罕見，昭尋訪多年，猶未可得；近日耳聞@B新野城東的百草婆@A得知此物下落，懇請閣下代張某前往探訪。
item = 51194,也罷！是張某註定難逃此劫。請閣下自便。
item = 51195,知所進退，方可保身。莫涉無能為力之事。##(@C承接任務等級限制 23@A)
item = 51196,汝眼神飄移，似是心神不定，張某此刻尚不敢重托予汝……##(@C承接任務已達上限@A)
item = 51197,汝對張某有救命之恩，此恩張某沒齒難忘。
item = 51198,耳聞@B新野城東的百草婆@A知曉@B鬼目菜@A下落，請閣下代吾一探。事關張某性命，不可玩笑。
item = 51199,難道……這就是傳說中的@B鬼目菜@A？！張某命不該絕啊！！##閣下救命大恩，昭沒齒難忘。吾人自創的@B技力回覆@A之術，對心神專一、納氣回法頗有效用，現授與汝，冀望對閣下大業有所助益。
item = 51200,物極必反乃萬物常理。越是凶惡死寂之處，往往能化育罕世珍寶。
item = 51201,沒事就陪附近的小貓咪玩玩吧！我看他們無聊得緊呢！
item = 51202,小夥子！有事要找老婆子嗎？
item = 51203,詢問鬼目菜的下落
item = 51204,沒事
item = 51205,小妹妹！有事要找老婆子嗎？
item = 51206,詢問鬼目菜的下落
item = 51207,沒事
item = 51208,想找@C鬼目菜@A啊！那東西只會寄生在猛虎穴的虎妖身上，要取得談何容易？你當真要試上一試？
item = 51209,是的
item = 51210,還是算了
item = 51211,好久沒看過這麼有膽識的年輕人了！老婆子送你一程吧！
item = 51212,懂得知難而退，年輕人！你不簡單啊！
item = 51213,你已經找到鬼目菜了，真是不簡單。事不宜遲，快送回@B江夏@A城，給@B張昭@A救命。
item = 51214,房陵被叛將孟達所據，準備投靠敵軍。無奈援軍未到，沒有人能對抗他們。#這位壯士威風凜凜，可願為國出力，前往@B房陵@A討賊？
item = 51215,沒問題
item = 51216,不願意
item = 51217,房陵被叛將孟達所據，準備投靠敵軍。無奈援軍未到，沒有人能對抗他們。#英雌一身凜然，必為天下靈氣所匯。敢情英雌願意披掛上陣，前往@B房陵@A討賊？
item = 51218,願盡所能
item = 51219,小女子力有不逮
item = 51220,好！老夫送你一程！
item = 51221,這位英雄，你是否要休息一下，這幫惡賊不好對付啊！
item = 51222,先回@B上庸@A一趟好了
item = 51223,不必了
item = 51224,這位英雌，追擊惡賊之事，不能急於一時。妳要不要回@B上庸@A城小作休息？
item = 51225,小作休息再戰
item = 51226,這點小事何需休息
item = 51227,賊軍持力橫行，幸虧有您大力相助，真是天下蒼生之福啊！
item = 51228,老夫送你回上庸吧！
item = 51229,亂世兵荒，兵逃將叛，大漢叛將@B陳蘭@A擁兵自重，據@B天柱山@A為王，為害甚鉅。#壯士可願為百姓出力，前往@B天柱山@A討逆？
item = 51230,沒問題
item = 51231,不願意
item = 51232,大漢叛將@B陳蘭@A擁兵自重，據@B天柱山@A為王，橫行無道，傷民無數。無奈府鞭末及，無人相抗。#見英雌一身凜然，敢情英雌為百姓出力，與老夫往@B天柱山@A討賊！
item = 51233,願盡所能
item = 51234,小女子力有不逮
item = 51235,老夫送你到@B天柱山@A。
item = 51236,這位英雄，你是否要休息一下，這幫惡賊不好對付啊！
item = 51237,先回@B盧江@A一趟好了
item = 51238,不必了
item = 51239,這位英雌，追擊惡賊之事，不能急於一時。妳要不要回@B盧江@A城小作休息？
item = 51240,小作休息再戰
item = 51241,這點小事何需休息
item = 51242,賊軍持力橫行，能力您大力相助，真是大漢百姓之福。
item = 51243,老夫送你回盧江吧！
item = 51244,妾身正為一事所擾，不知如何是好。閣下威武挺拔，想必身手不凡，請聽我道來。
item = 51245,妾身隨身@B彩扇@A乃故人所贈，旅至許昌途中，無端失落，教妾身耿耿於懷。若閣下能為妾身尋回此扇，必以此@B玉笛@A酬之。
item = 51246,樂於相助
item = 51247,力有未逮
item = 51248,禍福得失，理應天命。閣下切勿為此事掛心；望閣下武運昌隆，妾身這下告辭了。
item = 51249,閣下俠心仁義，妾身先行謝過。旅至許昌之時，曾在九里山小作休憩，@B彩扇@A多半是失落在@B九里山@A一帶。
item = 51250,俠心仁義，妾身先行謝過。##(@C承接任務數量已滿@A)
item = 51251,這位妹妹，姐姐正為一事所擾，不知你是否願意為姐姐想想辦法。
item = 51252,姐姐請說
item = 51253,不必了
item = 51254,姐姐有一把彩扇搞丟了，這把彩扇是姐姐的心上人送的，平時都隨身帶著，想來是在九里山下離開時，因為一時慌亂才不見的。不知道妹妹妳願不願意為姐姐去找找看？
item = 51255,妹子一定幫忙
item = 51256,不成
item = 51257,妹妹多半是因為九里山路險，而不願走這一遭的吧？姐姐明白，此事妳就不必掛心了。
item = 51258,妹妹熱心相助，姐姐先行謝過。@B彩扇@A多半是失落在@B九里山@A一帶，待彩扇尋回，姐姐便將這@B珠耳@A送妳。
item = 51259,妹子別急，九里山下龍蛇雜處，不妨等準備周全再行出發。##(@C承接任務已達上限@A)
item = 51260,妾身的@B彩扇@A理應失落於@B九里山@A下，煩請英雄細尋。
item = 51261,姐姐的@B彩扇@A失落在@B九里山@A一帶，多半是離開時因慌亂而失，就請妹妹多花點心思了。
item = 51262,原來彩扇已經被拾獲，多謝英雄訪尋。換回彩扇所需之@B銅馬@A本當由妾身供之。有勞閣下?此換回@B彩扇@A。妾身先行謝過。
item = 51263,有勞妹子尋得彩扇下落，姐姐這裡有幾顆@B銅馬@A在身，還請妹子前往換回@B彩扇@A。勞煩妹妹多跑一趟。
item = 51264,這銅馬暫時不能給你……##(@C攜帶物品已達上限@A)
item = 51265,多謝英雄為妾身找回@B彩扇@A，如約將此@B玉笛@A相贈。這柄@B玉笛@A乃高人所贈，隨身攜帶有清神醒靈之用，還望閣下切莫嫌棄。
item = 51266,多謝妹妹找回@C彩扇@A，姐姐跟你約好的@C珠耳@A就送給妳了。這對珠耳乃是姐姐行訪泰山之時求得，伴姐姐一路平安來到許昌，願此物有助妹妹行旅。
item = 51267,妾身@B彩扇@A若得尋回，必以源自高人之@B玉笛@A相贈。
item = 51268,姐姐的@B彩扇@A如果找回來了，這對求自泰山的@B珠耳@A就是妳的了。
item = 51269,謝禮不能相酬，不敢領受尋回之彩扇。##(@C攜帶物品已達上限@A)
item = 51270,多謝閣下大恩，這份恩情，妾身永誌難忘。
item = 51271,多謝妹妹相助，尋回彩扇，此事姐姐永誌難忘。
item = 51272,不求上進又有何妨?像我每天撿撿破爛，日子還不是一樣過得去?更何況最近還撿到一些奇珍異物，說不定還可靠此發一筆橫財呢！
item = 51273,你是來此找羽扇的？
item = 51274,那扇子在我手裡，想要？不難，只要你拿二十個@B銅馬@A來換，這扇子就給你。
item = 51275,喔，你拿了二十個銅馬來了嘛。那這扇子就還給你吧。嘿，再弄丟可別怨我啊。
item = 51276,沒帶齊我要的東西來的話，這扇子我可是不會交給你的，快去找齊再來吧。
item = 51277,你身上滿是東西要怎麼拿回這扇子?我看你先去收拾收拾再來吧。##(@C攜帶物品已達上限@A)
item = 51278,喔，你拿了五個仙珠來了嘛。那這扇子就還給你吧。嘿，再弄丟可別怨我啊。
item = 51279,東西可要拿好阿。再弄丟，可不是幾顆珠子就可以打發的。
item = 51280,在開始進行傳送之前，我必須要先提醒您的是，@C一旦進入露天市場，要再出來只能透過各家掌櫃協助傳送回重生點@A。#請問這樣的話，您還是選擇要進入露天市場嗎？
item = 51281,請協助我進入露天市場
item = 51282,我再考慮一下
item = 51283,好的，那就馬上幫你傳送進去，祝你一路順風!!
item = 51284,在開始進行傳送之前，我必須要先提醒您的是，@C一旦進入副本宮殿，要再出來只能透過副本宮殿管理人協助傳送回重生點@A。#請問這樣的話，您還是選擇要進入副本宮殿嗎？
item = 51285,請協助我進入副本宮殿
item = 51286,我再考慮一下
item = 51287,好的，那就馬上幫你傳送進去，祝你一路順風!!
item = 51288,如果有任何需要歡迎再來找我。
item = 51289,你決定要離開露天市場了嗎？#我必須再一次提醒你，離開這裡之後，你會回到你設定的重生點，即便如此，你仍堅持要離開這邊嗎？
item = 51290,我想離開了
item = 51291,我想到副本宮殿
item = 51292,我想到全國比武場
item = 51293,還是不要吧
item = 51294,既然如此，就讓我來助你一臂之力吧！
item = 51295,等你想要離開的時候再來找我吧!
item = 51296,在開始進行傳送之前，我必須要先提醒您的是，@C一旦進入副本宮殿，要再出來只能透過副本宮殿管理人協助傳送回重生點@A。#請問這樣的話，您還是選擇要進入副本宮殿嗎？
item = 51297,請協助我進入副本宮殿
item = 51298,我再考慮一下
item = 51299,在開始進行傳送之前，我必須要先提醒您的是，@C一旦進入全國比武場，要再出來只能透過全國比武場管理人協助傳送回重生點@A。#請問這樣的話，您還是選擇要進入全國比武場嗎？
item = 51300,請協助我進入全國比武場
item = 51301,我再考慮一下
item = 51302,在開始進行傳送之前，我必須要先提醒您的是，@C一旦進入露天市場，要再出來只能透過各家掌櫃協助傳送回重生點@A。#請問這樣的話，您還是選擇要進入露天市場嗎？
item = 51303,請協助我進入露天市場
item = 51304,我再考慮一下
item = 51305,讓我來向您介紹一下，這個副本宮殿由左至右可以分為三個區域：低階、中階、高階，可以借由我來幫您傳送至您想去的區域喔好好享受副本吧！
item = 51306,低階副本區
item = 51307,中階副本區
item = 51308,高階副本區
item = 51309,讓我離開吧
item = 51310,這就送您去低階副本區！
item = 51311,這就送您去中階副本區！
item = 51312,這就送您去高階副本區！
item = 51313,你決定要離開副本宮殿了嗎？#我必須再一次提醒你，離開這裡之後，你會回到你設定的重生點，即便如此，你仍堅持要離開這邊嗎？
item = 51314,我想離開了
item = 51315,我想到露天市場
item = 51316,我想到全國比武場
item = 51317,還是不要吧
item = 51318,周觀天下之事，有速則優者，亦有速則不達者，壯士行事、接人之時，萬當自問。##老夫莫能助之……
item = 51319,老夫行雲天下，終有所獲，但此思不覺天下有人可以習之，誠如鳳毛麟角，天下雖有，卻鮮有人得。
item = 51320,看你五官端正，氣度弘大，應當可以為之。#不知是否願意證明，君為天下之鳳毛麟角？
item = 51321,某願一證
item = 51322,不必了
item = 51323,人中龍鳳，何來如此氣量短小，是老夫錯看你了，莫怪。
item = 51324,鳳毛麟角，取得不易，壯士自便，老夫待之。
item = 51325,(@C承接任務已達上限@A)
item = 51326,人中龍鳳，何來如此體弱氣力薄，是老夫錯看你了，莫怪。(@C承接等級需求 LV 28@A)
item = 51327,壯士果真人中龍鳳，老夫一守承諾，將此@B武將技熟練@A的@B特殊技@A教授於你。此法有助縮短施用技法的時間。##但，欲習此法，尚需@B五彩石@A，才能讓你的根骨有所變化。
item = 51328,汝尚未取回鳳毛(@B翎羽@A)、麟角(@B鹿茸@A)，要如何向我證明汝為人中龍鳳？
item = 51329,英雄真不愧為人中龍鳳，能在如此短的時間內，便取得五彩石的碎片。待老夫為汝加持！
item = 51330,此法，時有助益時有不合使用之時…英雄當多考量。
item = 51331,爾尚未取得@B五彩碎石@A。
item = 51332,周觀天下之事，有速則優者，亦有速則不達者，壯士行事、接人之時，萬當自問。##老夫莫能助之……
item = 51333,身處亂世，誰人不想藉著一己之長，成名立功？然，一身技藝馳行沙場，只怕取敵首腦的一刻慢人一步。##壯士可有同感？
item = 51334,老夫夜觀日月星辰，日查人世百態，小有一吾，可使@B施放武將技時間縮短@A，但你的資質……##(@C觸發條件 LV 30@A)
item = 51335,雖然亂民依然橫行，但你已經證明你為這片土地盡了心力，這名新進的士兵，就由你領著，幫你打雜什麼的吧。##若能好好領著他成長，日後一定對你的仕途有所幫助。
item = 51336,老夫此刻不便說話，片刻之後再詢。##(@C道具空格已滿@A)
item = 51337,君尚未備妥證明完成平亂的物品(@B藤條 10 個、雜布 15 個、木盾1 個@A)，老夫無以為汝增功。#若得證明君為平亂出力，老夫必以重賞相籌。
item = 51338,滎陽一地，亂民四起，官鞭末及。誠使老夫不悅，隱引朝中不安，經此之貨不暢。##君雖外貌不華，卻是良將之材，可願以平此民亂，以致修身磨練！？
item = 51339,後生願意
item = 51340,後生自認不才
item = 51341,果真人中璞玉，多加修磨必成良將。此去滎陽雖有路險，但不足懼。君可向@B樂進@A明言，欲往@B滎陽@A便可縮地前往。##只要取回@B藤條 10 個、雜布 15 個、木盾 1 個@A證明平亂有功，老夫必以重賞相籌。
item = 51342,(@C承接任務已達上限@A)
item = 51343,君似良材，但尚缺磨練，如此良機，不可錯失啊。
item = 51344,雖君已證平亂有功，但滎陽一地民亂未止，若尚有餘力，應復往滎陽平亂。
item = 51345,英雄可是欲往@B滎陽@A平民亂？
item = 51346,是
item = 51347,否
item = 51348,樂進送你一程。
item = 51349,樂進送你一程。
item = 51350,平亂尚需英雄，樂進待汝復返。
item = 51351,英雄欲回@B洛陽@A？
item = 51352,是
item = 51353,否
item = 51354,雖綿竹一地亂民依然橫行，但你已經證明你為這片土地盡了心力，這名新進的士兵，就由你領著，幫你打雜什麼的吧。##若能好好領著他成長，日後一定對你的仕途有所幫助。
item = 51355,我此刻不便說話，片刻之後再詢。##(@C道具空格已滿@A)
item = 51356,君尚未備妥證明完成平亂的物品(@B藤條 10 個、雜布 15 個、木盾 1 個@A)，我無法為你增功。#若得證明君為平亂出力，必以重賞相籌。
item = 51357,綿竹一地，亂民四起，官鞭末及，隱引朝中不安，經此之貨不暢。##君雖外貌不華，卻是良將之材，可願以平此民亂，以致修身磨練！？
item = 51358,後生願意
item = 51359,後生自認不才
item = 51360,果真人中璞玉，多加修磨必成良將。此去綿竹雖有路險，但不足懼。君可向@B糜芳@A明言，欲往@B綿竹@A便可縮地前往。##只要取回@B藤條 10 個、雜布 15 個、木盾 1 個@A證明平亂有功，必以重賞相籌。
item = 51361,(@C承接任務已達上限@A)
item = 51362,君似良材，但尚缺磨練，如此良機，不可錯失啊。
item = 51363,雖君已證平亂有功，但綿竹一地民亂未止，若尚有餘力，應復往綿竹平亂。
item = 51364,英雄可是欲往@B綿竹@A平民亂？
item = 51365,是
item = 51366,否
item = 51367,糜某送你一程。
item = 51368,糜某送你一程。
item = 51369,平亂尚需英雄，糜某此待。
item = 51370,英雄欲回@B成都@A？
item = 51371,是
item = 51372,否
item = 51373,雖然亂民依然橫行，但汝已證盡心致力，這名新進的士兵，就由你領著，幫你打雜什麼的吧。##若能好好領著他成長，日後一定對你的仕途有所幫助。
item = 51374,老夫此刻不便說話，片刻之後再詢。##(@C道具空格已滿@A)
item = 51375,君尚未備妥證明完成平亂的物品(@B藤條 10 個、雜布 15 個、木盾 1 個@A)，老夫無以為汝增功。#若得證明君為平亂出力，老夫必以重賞相籌。
item = 51376,曲阿一地，亂民四起，官鞭末及。誠使老夫不悅，隱引朝中不安，經此之貨不暢。##君雖外貌不華，卻是良將之材，可願以平此民亂，以致修身磨練！？
item = 51377,後生願意
item = 51378,後生自認不才
item = 51379,果真人中璞玉，多加修磨必成良將。此去曲阿雖有路險，但不足懼。君可向@B祖茂@A明言，欲往@B曲阿@A便可縮地前往。##只要取回@B藤條 10 個、雜布 15 個、木盾 1 個@A證明平亂有功，老夫必以重賞相籌。
item = 51380,(@C承接任務已達上限@A)
item = 51381,君似良材，但尚缺磨練，如此良機，不可錯失啊。
item = 51382,雖君已證平亂有功，但曲阿一地民亂未止，若尚有餘力，應復往曲阿平亂。
item = 51383,英雄可是欲往@B曲阿@A平民亂？
item = 51384,是
item = 51385,否
item = 51386,老朽送你一程。
item = 51387,老朽送你一程。
item = 51388,平亂尚需英雄，老朽此待。
item = 51389,英雄欲回@B建業@A？
item = 51390,是
item = 51391,否
item = 51392,如此良機，英雄莫失啊。
item = 51393,張某雖以降低價錢，出售此馬，但@B15000兩@A並非小數目，英雄當真。
item = 51394,當真
item = 51395,不說說而已
item = 51396,大宛馬性良、氣溫，行千里而不怠。唯有如英雄般識馬之人，方為此駒良歸。
item = 51397,張某有一事欲言，望英雄有閒之時，回來看看張某。##(@C承接任務已達上限@A)
item = 51398,近年各地烽火連天，馬匹的需求大，價錢自是水漲船高。
item = 51399,英雄，此價已低，末要教老夫折本。
item = 51400,英雄此刻似有不便，不如另擇一日，再取馬。##(@C物品欄位已滿@A)
item = 51401,為謝英雄大恩，世平願以@B 15000 兩 @A的低價，售出大宛馬一匹，不知英雄意下如何？
item = 51402,當然要了
item = 51403,不必了
item = 51404,蔣某已授汝道具精通的技能，此法唯自習方得有果，英雄好自為之。籌整軍備之事，實為多謝。
item = 51405,你的@C等級尚未到達28級@A，蔣某不能破例教授你道具精通的技能。
item = 51406,你曾經放棄過，向蔣某學習道具精通的機會，你此番再訪，可是有誠心要向蔣某學習？
item = 51407,是的
item = 51408,不了
item = 51409,蔣某熟悉道具使用之絕學，你可願意為蔣某籌備各項軍需，交換這個學習的機會？
item = 51410,後生願意
item = 51411,不必勞駕
item = 51412,蔣某不情之請。#誠請英雄為蔣某籌整軍需之酒。共為@B濁酒四十，老酒十@A請英雄助之。
item = 51413,你現在@C承接太多任務@A了，先去完成一些再回來找我吧。
item = 51414,這籌酒之事，真是多謝英雄了。#蔣某為籌軍備尚有各種肉品之需。亦請英雄助之。此需@B碎肉五十、肉塊廿五、新鮮肉塊五@A。
item = 51415,蔣某明白你是個好學之人，有心向上，但軍需在急，蔣某實在無瑕授此技？##(尚需@B濁酒四十，老酒十@A)
item = 51416,多謝英雄為蔣某籌得這些酒肉，實解了蔣某心頭大患。如今尚需行軍飲水，@B清水五十、冷泉十@A，若得英雄相助，此程便得大功告成。
item = 51417,此程所需酒、肉，誠為行軍所需糧草，萬望英雄相助。##(尚需@B碎肉五十、肉塊廿五、新鮮肉塊五@A)
item = 51418,此程軍需蔣某誠以謝之。
item = 51419,蔣某將此間軍需整妥，尚需片刻，煩請英雄@C片刻之後再訪@A，便予汝@B道具精通@A之法。
item = 51420,我兒阿福離家從軍已有半載，至今音訊全無，莫非已遭不測？##(@C承接任務等級限制  19@A)
item = 51421,我兒為光耀門楣入伍從軍，如今歸鄉竟只剩黃土一壞，我可憐的兒啊！教老身以後的日子怎麼活下去呀？
item = 51422,唉～我兒阿福到底何時才能返鄉，老身已是風燭殘年，今生恐怕無緣再見吾兒一面。
item = 51423,詢問為何嘆氣
item = 51424,離開
item = 51425,吾兒阿福乃@B長沙校尉˙馬忠@A手下步卒，最近半年，未有隻字片語捎來，教老身牽腸掛肚、寢食難安。這位公子可否幫幫忙，代老身往長沙一探？
item = 51426,願意
item = 51427,拒絕
item = 51428,吾兒阿福乃@B長沙校尉˙馬忠@A手下步卒，最近半年，未有隻字片語捎來，教老身牽腸掛肚、寢食難安。這位姑娘可否幫幫忙，代老身往長沙一探？
item = 51429,願意
item = 51430,拒絕
item = 51431,沒關係！沒關係！您不方便，老身另覓他人相助即可。
item = 51432,多謝公子！多謝公子！吾兒阿福就在@B長沙校尉˙馬忠@A的手下當兵，麻煩公子尊駕一探，大恩大德，老身感激不盡！
item = 51433,多謝姑娘！多謝姑娘！吾兒阿福就在@B長沙校尉˙馬忠@A的手下當兵，麻煩姑娘尊駕一探，大恩大德，老身感激不盡！
item = 51434,阿福是個孝順的孩子，過去不曾這麼久沒寫家書回來報平安，望汝速往長沙尋@B校尉˙馬忠@A打聽打聽。
item = 51435,老身不能平白受人幫助，請你整頓行囊，老身有一物相贈。
item = 51436,您是不是忘了什麼？
item = 51437,敢問公子，我兒阿福到底近況如何？
item = 51438,通報死訊
item = 51439,沒有消息
item = 51440,敢問姑娘，我兒阿福到底近況如何？
item = 51441,通報死訊
item = 51442,沒有消息
item = 51443,什麼？！我兒˙˙˙我兒阿福已˙˙命喪黃泉！這麼孝順的好孩子竟死得如此凄涼！我可憐的阿福啊！
item = 51444,我王家祖傳的蛇矛，如今也後繼無人，公子你就拿去吧！省得老身睹物思人。我可憐的阿福啊～
item = 51445,我王家祖傳的蛇矛，如今也後繼無人，姑娘你就拿去吧！省得老身睹物思人。我可憐的阿福啊～
item = 51446,一場接一場的大戰，埋葬了無數的年輕生命，失去愛子的父母、失去慈父的幼小孩童，他們的悲痛有誰能了解呢？
item = 51447,這位壯士，敢問何事見教？
item = 51448,詢問王阿福的下落
item = 51449,沒事
item = 51450,這位姑娘，敢問何事見教？
item = 51451,詢問王阿福的下落
item = 51452,沒事
