// ª««~³]©wÀÉ2
#include TYPE.H
#include PROCESS.H
#include DEFINETXT.H
#include ITEM.H
#include ITEM2.H
#include RANGETABLE.H
#include MAGIC.H
#include MAGIC_EXP.H
#include PLAYERS.H
#include STAGE.H
#include COMPOSITE_TABLE.H


// ---------------- ¸Ë³Æ«~ -------------------
[item]
eq_magic_resist = skillAttr_ARROW,8
eq_magic_resist = skillAttr_FIRE,8
eq_magic_resist = skillAttr_WATER,8
eq_magic_resist = skillAttr_GOD,8
eq_magic_resist = skillAttr_EVIL,8
limit_level = 55
limit_job = jobWARLORD,jobLEADER,jobADVISOR,jobWIZARD,jobENGINEER
weight = 2500
cost = 640000
sell = 160000
cost_level = 96
icon = 9597
wid = 9597
help_string = 4593542
function = effFun_ANTISTATUS,effFun_STUN,effFun_WEAKEN
anti_status_ratio = effFun_STUN,50
anti_status_ratio = effFun_WEAKEN,50
sfx_hit = wav\comm\em035_1.wav
sfx_run = wav\comm\HorseRun.wav
sfx_walk = wav\comm\HorseWalk.wav
comp_times = 0
soul_times = 2
horse_height = -9
use_duedate = 1296000
sp_effect = engADDCOLOR

[item]
code = item_´Ë±O¸v´P(15¤é)
name = 4528007
duedate_only = 1
type = itemTypeHorse,itemTypeNoUse
add_attr_str = 5
add_attr_con = 75
add_attr_dex = 40
add_defense = 20
add_hp = 100
move = 62
eq_magic_resist = skillAttr_SLASH,8
eq_magic_resist = skillAttr_STING,8
eq_magic_resist = skillAttr_BREAK,8
eq_magic_resist = skillAttr_ARROW,8
eq_magic_resist = skillAttr_FIRE,8
eq_magic_resist = skillAttr_WATER,8
eq_magic_resist = skillAttr_GOD,8
eq_magic_resist = skillAttr_EVIL,8
limit_level = 55
limit_job = jobWARLORD,jobLEADER,jobADVISOR,jobWIZARD,jobENGINEER
weight = 2550
cost = 660000
sell = 165000
cost_level = 96
icon = 9600
wid = 9600
help_string = 4593543
function = effFun_ANTISTATUS,effFun_POISON,effFun_WEAKEN,effFun_NO_MAGIC,effFun_NO_SPEC
anti_status_ratio = effFun_POISON,25
anti_status_ratio = effFun_WEAKEN,25
anti_status_ratio = effFun_NO_MAGIC,25
anti_status_ratio = effFun_NO_SPEC,25
sfx_hit = wav\comm\em035_1.wav
sfx_run = wav\comm\HorseRun.wav
sfx_walk = wav\comm\HorseWalk.wav
comp_times = 0
soul_times = 2
horse_height = -15
use_duedate = 1296000
sp_effect = engADDCOLOR

[item]
code = item_¥Õªê¶µ°é(®É)
name = 4528008
duedate_only = 1
type = itemTypeOther,itemTypeNoUse
add_attr_str = 5
add_attr_int = 5
add_attr_mind = 5
add_attr_dex = 5
add_defense = 5
eq_magic_resist = skillAttr_SLASH,3
eq_magic_resist = skillAttr_STING,3
eq_magic_resist = skillAttr_BREAK,3
eq_magic_resist = skillAttr_ARROW,3
eq_magic_resist = skillAttr_FIRE,3
eq_magic_resist = skillAttr_WATER,3
eq_magic_resist = skillAttr_GOD,3
eq_magic_resist = skillAttr_EVIL,3
limit_level = 55
weight = 200
cost = 200
sell = 50
cost_level = 20
icon = 4310
wid = 4310
help_string = 4593544
function = effFun_ANTISTATUS,effFun_STUN,effFun_WEAKEN
anti_status_ratio = effFun_STUN,15
anti_status_ratio = effFun_WEAKEN,15
comp_times = 0
soul_times = 2
use_duedate = 1296000

[item]
code = item_²»¨ß¶µ°é(®É)
name = 4528009
duedate_only = 1
type = itemTypeOther,itemTypeNoUse
add_attr_str = 5
add_attr_con = 5
add_attr_dex = 5
add_attr_leader = 5
add_defense = 5
eq_magic_resist = skillAttr_SLASH,3
eq_magic_resist = skillAttr_STING,3
eq_magic_resist = skillAttr_BREAK,3
eq_magic_resist = skillAttr_ARROW,3
eq_magic_resist = skillAttr_FIRE,3
eq_magic_resist = skillAttr_WATER,3
eq_magic_resist = skillAttr_GOD,3
eq_magic_resist = skillAttr_EVIL,3
limit_level = 55
weight = 200
cost = 200
sell = 50
cost_level = 20
icon = 4310
wid = 4310
help_string = 4593545
function = effFun_ANTISTATUS,effFun_STUN,effFun_WEAKEN
anti_status_ratio = effFun_STUN,15
anti_status_ratio = effFun_WEAKEN,15
comp_times = 0
soul_times = 2
use_duedate = 1296000

[item]
code = item_µµÂB´u(10¤é)
name = 4528010
duedate_only = 1
type = itemTypeWeapon,itemTypeTwoHand,itemTypeLance,itemTypeNoUse
wait_type = act_STAND_LANCE
add_attr_str = 70
add_attr_con = 30
add_attr_dex = 35
attack_range = 2
effect_range = 0
add_attack_power = 120,128
add_magic_power = 20
add_attackx2_ratio = 14
attack_speed = 6
add_weapon_hit = 90
eq_magic_attack_type = skillAttr_SLASH,20
eq_magic_attack_type = skillAttr_STING,40
eq_magic_attack_type = skillAttr_EVIL,40
limit_level = 125
limit_job = jobWARLORD
weight = 1800
cost = 120000
sell = 30000
cost_level = 100
icon = 651
wid = 651
help_string = 4593546
super_type = itemTypeLance
sfx_hit = wav\comm\hit02_1.wav
sfx_attack = wav\comm\throw1.wav
comp_times = 2
soul_times = 2
use_duedate = 864000
sp_effect = engADDCOLOR

[item]
code = item_¤­¤öµµª÷´Ò(10¤é)
name = 4528011
duedate_only = 1
type = itemTypeWeapon,itemTypeLance,itemTypeNoUse
wait_type = act_STAND_SWORD
add_attr_int = 85
add_attr_con = 15
add_attr_leader = 40
attack_range = 2
effect_range = 0
add_attack_power = 102,105
add_magic_power = 26
add_hp = 650
attack_speed = 4
add_weapon_hit = 90
eq_magic_attack_type = skillAttr_BREAK,60
eq_magic_attack_type = skillAttr_GOD,20
eq_magic_attack_type = skillAttr_EVIL,20
limit_level = 125
limit_job = jobADVISOR
weight = 1000
cost = 120000
sell = 30000
cost_level = 100
icon = 1333
wid = 1333
help_string = 4593547
super_type = itemTypeLance
sfx_hit = wav\comm\hit06.wav
sfx_attack = wav\comm\throw1.wav
comp_times = 2
soul_times = 2
use_duedate = 864000
sp_effect = engADDCOLOR

[item]
code = item_µµª÷¥¨©ò(10¤é)
name = 4528012
duedate_only = 1
type = itemTypeWeapon,itemTypeTwoHand,itemTypeFalchion,itemTypeNoUse
wait_type = act_STAND_MACHETE
add_attr_str = 100
add_attr_con = 30
add_attr_dex = 15
attack_range = 2
effect_range = 0
add_attack_power = 155,165
add_attackx2_ratio = 21
attack_speed = 5
add_weapon_hit = 90
eq_magic_attack_type = skillAttr_SLASH,30
eq_magic_attack_type = skillAttr_BREAK,40
eq_magic_attack_type = skillAttr_EVIL,30
limit_level = 125
limit_job = jobWARLORD
weight = 2000
cost = 144000
sell = 36000
cost_level = 87
icon = 1025
wid = 1025
help_string = 4593548
super_type = itemTypeFalchion
sfx_hit = wav\comm\hit01.wav
sfx_attack = wav\comm\sword.wav
comp_times = 2
soul_times = 2
use_duedate = 864000
sp_effect = engADDCOLOR

[item]
code = item_°­Æ`¨ª¤õÂñ(10¤é)
name = 4528013
duedate_only = 1
type = itemTypeWeapon,itemTypeTwoHand,itemTypeFalchion,itemTypeNoUse
wait_type = act_STAND_MACHETE
add_attr_str = 30
add_attr_con = 30
add_attr_dex = 80
attack_range = 2
effect_range = 2
add_attack_power = 139,153
add_attackx2_ratio = 21
attack_speed = 4
add_weapon_hit = 80
eq_magic_attack_type = skillAttr_BREAK,55
eq_magic_attack_type = skillAttr_WATER,20
eq_magic_attack_type = skillAttr_GOD,25
limit_level = 125
limit_job = jobWARLORD
weight = 2600
cost = 144000
sell = 36000
cost_level = 100
icon = 1431
wid = 1431
help_string = 4593549
super_type = itemTypeFalchion
sfx_hit = wav\comm\hit07.wav
sfx_attack = wav\comm\throw1.wav
comp_times = 2
soul_times = 2
use_duedate = 864000
sp_effect = engADDCOLOR

[item]
code = item_¬x¯îÅ]´¹(15¤é)
name = 4528014
duedate_only = 1
type = itemTypeWeapon,itemTypeSword,itemTypeNoUse,itemTypeNoTrade
type2 = itemType2NoSell
wait_type = act_STAND_SWORD
light = 2
attack_range = 2
effect_range = 0
add_attack_power = 1
attack_speed = 1
limit_level = 1
weight = 10
cost = 0
sell = 0
cost_level = 20
icon = 10417
wid = 1
help_string = 4593550
super_type = itemTypeSword
sfx_hit = wav\comm\hit02.wav
sfx_attack = wav\comm\throw1.wav
soul_times = 1
use_duedate = 1296000

[item]
code = item_Å]´L¾Ô¦ç(7¤é)
name = 4528015
duedate_only = 1
type = itemTypeUnderwear,itemTypeNoUse
add_attr_str = 25
add_attr_int = 25
add_attr_mind = 25
add_attr_dex = 25
add_defense = 15
eq_magic_resist = skillAttr_SLASH,8
eq_magic_resist = skillAttr_STING,8
eq_magic_resist = skillAttr_BREAK,8
eq_magic_resist = skillAttr_ARROW,8
eq_magic_resist = skillAttr_FIRE,8
eq_magic_resist = skillAttr_WATER,8
eq_magic_resist = skillAttr_GOD,8
eq_magic_resist = skillAttr_EVIL,8
limit_level = 120
weight = 100
cost = 20000
sell = 5000
cost_level = 60
icon = 3808
help_string = 4593551
function = effFun_ANTISTATUS,effFun_STUN,effFun_WEAKEN
anti_status_ratio = effFun_STUN,20
anti_status_ratio = effFun_WEAKEN,20
comp_times = 5
soul_times = 2
use_duedate = 604800

[item]
code = item_¶Àª÷¥Ò(¨k3¤é)
name = 4528016
wawa_only = 1
type = itemTypeOther,itemTypeNoUse,itemTypeNoTrade
type2 = itemType2NoSell
no_attack = 1
add_hp = 150
add_mp = 100
limit_job = jobWARLORD,jobLEADER,jobADVISOR,jobWIZARD,jobENGINEER
limit_sex = sexMALE
weight = 10
cost = 0
sell = 0
cost_level = 20
icon = 17031
wid = 17048
other_wid = 9055
help_string = 4593552
soul_times = 1
use_duedate = 259200

[item]
code = item_¶Àª÷¥Ò(¤k3¤é)
name = 4528017
wawa_only = 1
type = itemTypeOther,itemTypeNoUse,itemTypeNoTrade
type2 = itemType2NoSell
no_attack = 1
add_hp = 150
add_mp = 100
limit_job = jobWARLORD,jobLEADER,jobADVISOR,jobWIZARD,jobENGINEER
limit_sex = sexFEMALE
weight = 10
cost = 0
sell = 0
cost_level = 20
icon = 17032
wid = 17049
other_wid = 9056
help_string = 4593553
soul_times = 1
use_duedate = 259200

[item]
code = item_¶Àª÷¥Ò(¨k½Ã3¤é)
name = 4528018
wawa_only = 1
type = itemTypeOther,itemTypeNoUse,itemTypeNoTrade
type2 = itemType2NoSell
no_attack = 1
add_hp = 150
add_mp = 100
limit_job = jobASSASSIN
limit_sex = sexMALE
weight = 10
cost = 0
sell = 0
cost_level = 20
icon = 17050
wid = 17050
other_wid = 9062
help_string = 4593554
soul_times = 1
use_duedate = 259200

[item]
code = item_¶Àª÷¥Ò(¤k½Ã3¤é)
name = 4528019
wawa_only = 1
type = itemTypeOther,itemTypeNoUse,itemTypeNoTrade
type2 = itemType2NoSell
no_attack = 1
add_hp = 150
add_mp = 100
limit_job = jobASSASSIN
limit_sex = sexFEMALE
weight = 10
cost = 0
sell = 0
cost_level = 20
icon = 17051
wid = 17051
other_wid = 9063
help_string = 4593555
soul_times = 1
use_duedate = 259200

[item]
code = item_¶ÂÃM¤h(¨k½Ã3¤é)
name = 4528020
wawa_only = 1
type = itemTypeOther,itemTypeNoUse
type2 = itemType2NoSell
add_attr_str = 50
add_attr_int = 50
add_attr_mind = 50
add_attr_con = 50
add_attr_dex = 50
add_attr_leader = 50
add_magic_power = 20
eq_magic_attack_type = skillAttr_SLASH,10
eq_magic_attack_type = skillAttr_STING,10
eq_magic_attack_type = skillAttr_BREAK,10
eq_magic_resist = skillAttr_SLASH,20
eq_magic_resist = skillAttr_STING,20
eq_magic_resist = skillAttr_BREAK,20
eq_magic_resist = skillAttr_ARROW,20
limit_job = jobASSASSIN
limit_sex = sexMALE
weight = 500
cost = 20
sell = 5
cost_level = 20
icon = 17064
wid = 17064
other_wid = 9076
help_string = 4593556
soul_times = 1
use_duedate = 259200

[item]
code = item_¶ÂÃM¤h(¤k½Ã3¤é)
name = 4528021
wawa_only = 1
type = itemTypeOther,itemTypeNoUse
type2 = itemType2NoSell
add_attr_str = 50
add_attr_int = 50
add_attr_mind = 50
add_attr_con = 50
add_attr_dex = 50
add_attr_leader = 50
add_magic_power = 20
eq_magic_attack_type = skillAttr_SLASH,10
eq_magic_attack_type = skillAttr_STING,10
eq_magic_attack_type = skillAttr_BREAK,10
eq_magic_resist = skillAttr_SLASH,20
eq_magic_resist = skillAttr_STING,20
eq_magic_resist = skillAttr_BREAK,20
eq_magic_resist = skillAttr_ARROW,20
limit_job = jobASSASSIN
limit_sex = sexFEMALE
weight = 500
cost = 20
sell = 5
cost_level = 20
icon = 17065
wid = 17065
other_wid = 9077
help_string = 4593557
soul_times = 1
use_duedate = 259200

[item]
code = item_­ßÃM¤h(¨k½Ã3¤é)
name = 4528022
wawa_only = 1
type = itemTypeOther,itemTypeNoUse
type2 = itemType2NoSell
add_attr_str = 210
add_attr_int = 50
add_attr_mind = 50
add_attr_con = 50
add_attr_dex = 50
add_attr_leader = 50
add_magic_power = 10
eq_magic_attack_type = skillAttr_SLASH,10
eq_magic_attack_type = skillAttr_STING,10
eq_magic_attack_type = skillAttr_BREAK,10
eq_magic_resist = skillAttr_FIRE,20
eq_magic_resist = skillAttr_WATER,20
eq_magic_resist = skillAttr_GOD,20
eq_magic_resist = skillAttr_EVIL,20
limit_job = jobASSASSIN
limit_sex = sexMALE
weight = 500
cost = 20
sell = 5
cost_level = 20
icon = 17064
wid = 17064
other_wid = 9076
help_string = 4593558
soul_times = 1
use_duedate = 259200

[item]
code = item_­ßÃM¤h(¤k½Ã3¤é)
name = 4528023
wawa_only = 1
type = itemTypeOther,itemTypeNoUse
type2 = itemType2NoSell
add_attr_str = 210
add_attr_int = 50
add_attr_mind = 50
add_attr_con = 50
add_attr_dex = 50
add_attr_leader = 50
add_magic_power = 10
eq_magic_attack_type = skillAttr_SLASH,10
eq_magic_attack_type = skillAttr_STING,10
eq_magic_attack_type = skillAttr_BREAK,10
eq_magic_resist = skillAttr_FIRE,20
eq_magic_resist = skillAttr_WATER,20
eq_magic_resist = skillAttr_GOD,20
eq_magic_resist = skillAttr_EVIL,20
limit_job = jobASSASSIN
limit_sex = sexFEMALE
weight = 500
cost = 20
sell = 5
cost_level = 20
icon = 17065
wid = 17065
other_wid = 9077
help_string = 4593559
soul_times = 1
use_duedate = 259200

[item]
code = item_¯«¯µÄ_½c
name = 4529000
type = itemTypeItem,itemTypeNoUse
weight = 10
cost = 0
sell = 0
cost_level = 20
icon = 5743
help_string = 4594536

[item]
code = item_´¶³qªº³Ò°Ê¾±³¹
name = 4529001
type = itemTypeItem,itemTypeNoUse,itemTypeNoTrade
type2 = itemType2NoSell
weight = 10
cost = 0
sell = 0
cost_level = 20
icon = 6062
help_string = 4594537

[item]
code = item_ºë½oªº³Ò°Ê¾±³¹
name = 4529002
type = itemTypeItem,itemTypeNoUse,itemTypeNoTrade
type2 = itemType2NoSell
weight = 10
cost = 0
sell = 0
cost_level = 20
icon = 6064
help_string = 4594538

[item]
code = item_¤¤¬î¤ë»æ²°
name = 4529003
type = itemTypeItem,itemTypeNoUse
type2 = itemType2NoSell
weight = 10
cost = 0
sell = 0
cost_level = 20
icon = 47004
help_string = 4594539

[item]
code = item_Às¶P·s¬K¬õ¥]
name = 4529004
type = itemTypeItem,itemTypeNoUse,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
weight = 10
cost = 0
sell = 0
cost_level = 20
icon = 5590
help_string = 4594540

[item]
code = item_±j®Ä¯«¹A¯ù
name = 4530000
type = itemTypeItem
type2 = itemType2NoSell,itemType2MayPutStorage
add_hp = 1250
limit_level = 1
weight = 50
cost = 160
sell = 40
cost_level = 1
icon = 5045
help_string = 4595536
drop_num = 250

[item]
code = item_±j®Ä¤ý¥ÀÂÏ®ç
name = 4530001
type = itemTypeItem
type2 = itemType2NoSell,itemType2MayPutStorage
add_hp = 900
limit_level = 1
weight = 10
cost = 0
sell = 0
cost_level = 20
icon = 7501
help_string = 4595537
drop_num = 250

[item]
code = item_±j®Ä¥ÉÅS°s
name = 4530002
type = itemTypeItem
type2 = itemType2NoSell,itemType2MayPutStorage
add_mp = 250
limit_level = 1
weight = 10
cost = 0
sell = 0
cost_level = 20
icon = 7502
help_string = 4595538
drop_num = 250

[item]
code = item_¼úÀy°®©[³U
name = 4530003
type = itemTypeItem,itemTypeNoTrade
type2 = itemType2NoSell
limit_level = 1
weight = 100
cost = 100000
sell = 25000
cost_level = 100
icon = 5082
help_string = 4595539
use_magic_id = magic_ADD_MAX_ITEM_CARRY
use_magic_level = 1

[item]
code = item_¼úÀy¬ÂÄn½c
name = 4530004
type = itemTypeItem,itemTypeNoTrade
type2 = itemType2NoSell
limit_level = 1
weight = 100
cost = 100000
sell = 25000
cost_level = 100
icon = 5083
help_string = 4595540
use_magic_id = magic_ADD_MAX_ITEM_STORAGE
use_magic_level = 1

[item]
code = item_¯«§f¥¬ªZ»î
name = 4530005
type = itemTypeItem,itemTypeSoul
light = 399
limit_level = 50
limit_job = jobWARLORD,jobLEADER,jobADVISOR,jobWIZARD,jobENGINEER
weight = 100
cost = 0
sell = 0
cost_level = 60
icon = 3987
wid = role_§f¥¬_cosplay
help_string = 4595541

[item]
code = item_ªê¼SÀsÄË«lÃz½c
name = 4531000
type = itemTypeItem,itemTypeLetto,itemTypeNoTrade
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5806
use_magic_id = 6247

[item]
code = item_117¯Å°t¹¢Â§
name = 4531001
type = itemTypeItem,itemTypeLetto,itemTypeNoTrade
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5803
use_magic_id = 6248

[item]
code = item_120¯Å°t¹¢Â§
name = 4531002
type = itemTypeItem,itemTypeLetto,itemTypeNoTrade
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5803
use_magic_id = 6249

[item]
code = item_125¯Å°t¹¢Â§
name = 4531003
type = itemTypeItem,itemTypeLetto,itemTypeNoTrade
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 7587
use_magic_id = 6250

[item]
code = item_¤dÁè¦ÊÁå¥]
name = 4531004
type = itemTypeItem,itemTypeLetto,itemTypeNoTrade
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 7384
help_string = 4596540
use_magic_id = 6252

[item]
code = item_±´Ån¨úª«ºÖ³U
name = 4531005
type = itemTypeItem,itemTypeLetto,itemTypeNoTrade
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 7587
use_magic_id = 6257

[item]
code = item_¯¦ªk¤Ñ®Ñ§X
name = 4531006
type = itemTypeItem,itemTypeLetto,itemTypeNoTrade
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 7384
use_magic_id = 6258

[item]
code = item_©_§L¹P¥ÒºÖ³U
name = 4531007
type = itemTypeItem,itemTypeLetto,itemTypeNoTrade
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5714
help_string = 4596543
use_magic_id = 6259

[item]
code = item_©_¬Ã²§Ä_ºÖ³U
name = 4531008
type = itemTypeItem,itemTypeLetto,itemTypeNoTrade
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5714
help_string = 4596544
use_magic_id = 6260

[item]
code = item_¯«§L¤Ñ­°ºÖ³U
name = 4531009
type = itemTypeItem,itemTypeLetto,itemTypeNoTrade
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5714
help_string = 4596545
use_magic_id = 6261

[item]
code = item_¤@ÃMµ´¹ÐºÖ³U
name = 4531010
type = itemTypeItem,itemTypeLetto,itemTypeNoTrade
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5714
help_string = 4596546
use_magic_id = 6262

[item]
code = item_¥P¬É¬Ã«~½c
name = 4531011
type = itemTypeItem,itemTypeLetto,itemTypeNoTrade
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5806
help_string = 4596547
use_magic_id = 6265

[item]
code = item_ªê¶N¸Éµ¹³U
name = 4531012
type = itemTypeItem,itemTypeLetto,itemTypeNoTrade
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5714
help_string = 4596548
use_magic_id = 6266

[item]
code = item_¤T°ê®É®Ä¸Ë§êÂ§
name = 4531013
type = itemTypeItem,itemTypeLetto,itemTypeNoTrade
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5803
help_string = 4596549
use_magic_id = 6267

[item]
code = item_¤Ó¥È§L¾¹§X
name = 4531014
type = itemTypeItem,itemTypeLetto
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 7384
help_string = 4596550
use_magic_id = 6269

[item]
code = item_¤d¤Û¦Ê§ÞºÖ³U
name = 4531015
type = itemTypeItem,itemTypeLetto
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 7587
help_string = 4596551
use_magic_id = 6279

[item]
code = item_®É®ÄÂ§«~³U
name = 4531016
type = itemTypeItem,itemTypeLetto,itemTypeNoTrade
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5714
help_string = 4596552
use_magic_id = 6289

[item]
code = item_³ß¼y¸`¤é¥]
name = 4531017
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5714
help_string = 4596553
use_magic_id = 6291

[item]
code = item_ÅQ®ð°®©[ºÖ³U
name = 4531018
type = itemTypeItem,itemTypeLetto
type2 = itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 7587
help_string = 4596554
use_magic_id = 6300

[item]
code = item_¸t½ÏÄ_½c_2011
name = 4531019
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 20
icon = 5878
help_string = 4596555
use_magic_id = 6307

[item]
code = item_¸t½ÏÂ§ª«_2011
name = 4531020
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 20
icon = 5678
help_string = 4596556
use_magic_id = 6308

[item]
code = item_·s¦~¶PÂ§
name = 4531021
type = itemTypeItem,itemTypeLetto
type2 = itemType2NoSell
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5803
help_string = 4596557
use_magic_id = 6314

[item]
code = item_ÀsÄËªêÅD¦n¹BÂ§
name = 4531022
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5803
help_string = 4596558
use_magic_id = 6320

[item]
code = item_ª÷Á\¥É²¯Â§¥]
name = 4531023
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 7384
help_string = 4596559
use_magic_id = 6470

[item]
code = item_ª÷Á\¥É¥ÒÂ§¥]
name = 4531024
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 7384
help_string = 4596560
use_magic_id = 6471

[item]
code = item_ª÷Á\¥É¹uÂ§¥]
name = 4531025
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 7384
help_string = 4596561
use_magic_id = 6472

[item]
code = item_ª÷Á\¥ÉµÃÂ§¥]
name = 4531026
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 7384
help_string = 4596562
use_magic_id = 6473

[item]
code = item_ª÷Á\¥É¾ûÂ§¥]
name = 4531027
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 7384
help_string = 4596563
use_magic_id = 6474

[item]
code = item_¤Ñ¹pºuºuÄ_¾¹½c
name = 4531028
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 7384
help_string = 4596564
use_magic_id = 6482

[item]
code = item_¤Ñ¹p¦a¤õ¹¢«~³U
name = 4531029
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5714
help_string = 4596565
use_magic_id = 6485

[item]
code = item_»ñ¯Íµµª÷²¯Â§¥]
name = 4531030
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5714
help_string = 4596566
use_magic_id = 6508

[item]
code = item_«Gª÷­¸Às¥ÒÂ§¥]
name = 4531031
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5714
help_string = 4596567
use_magic_id = 6509

[item]
code = item_îÜª÷»ñ¯ÍÁ§Â§¥]
name = 4531032
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5714
help_string = 4596568
use_magic_id = 6510

[item]
code = item_¤CÄ_îÜª÷µÃÂ§¥]
name = 4531033
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5714
help_string = 4596569
use_magic_id = 6511

[item]
code = item_ª÷³½ÅìÂê¾ûÂ§¥]
name = 4531034
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5714
help_string = 4596570
use_magic_id = 6512

[item]
code = item_ÀsÅvÄ_ª«½c
name = 4531035
type = itemTypeItem,itemTypeLetto,itemTypeNoDrop
type2 = itemType2NoSell,itemType2MayPutStorage
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 5714
help_string = 4596571
use_magic_id = 6515

